VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,600,2215,2815,s,1200,5954,7154,
v,600,2201,2801,s,1200,5952,7152,
v,600,2200,2800,s,1200,5950,7150,
v,600,2200,2800,s,1200,5952,7152,
v,600,2202,2802,s,1200,5952,7152,
v,600,2200,2800,s,1200,5953,7153,
v,600,2200,2800,s,1200,5950,7150,
v,600,2200,2800,s,1200,5951,7151,
v,600,2200,2800,s,1200,5951,7151,
v,600,2201,2801,s,1200,5950,7150,
v,600,2200,2800,s,1200,5952,7152,
v,600,2201,2801,s,1200,5951,7151,
v,600,2200,2800,s,1200,5950,7150,
v,600,2201,2801,s,1200,5951,7151,
v,600,2200,2800,s,1200,5951,7151,
v,600,2200,2800,s,1200,5951,7151,
v,600,2201,2801,s,1203,5959,7162,
v,600,2201,2801,s,1200,5953,7153,
v,600,2201,2801,s,1200,5950,7150,
v,600,2201,2801,s,1200,5950,7150,
v,600,2201,2801,s,1200,5951,7151,
v,600,2200,2800,s,1200,5950,7150,
v,600,2201,2801,s,1200,5952,7152,
v,600,2200,2800,s,1200,5950,7150,
v,600,2201,2801,s,1200,5951,7151,
v,600,2201,2801,s,1200,5952,7152,
v,600,2201,2801,s,1200,5951,7151,
v,600,2201,2801,s,1200,5950,7150,
v,600,2201,2801,s,1200,5950,7150,
v,600,2200,2800,s,1200,5951,7151,
v,600,2201,2801,s,1200,5950,7150,
v,600,2201,2801,s,1200,5951,7151,
v,600,2200,2800,s,1200,5950,7150,
v,600,2200,2800,s,1200,5951,7151,
v,600,2201,2801,s,1200,5952,7152,
v,600,2201,2801,s,1200,5950,7150,
v,600,2200,2800,s,1200,5951,7151,
v,600,2201,2801,s,1200,5952,7152,
v,600,2201,2801,s,1200,5951,7151,
v,600,2201,2801,s,1200,5950,7150,
v,600,2200,2800,s,1200,5951,7151,
v,600,2200,2800,s,1200,5951,7151,
v,600,2200,2800,s,1200,5951,7151,
v,600,2200,2800,s,1200,5951,7151,
v,600,2200,2800,s,1200,5951,7151,
v,600,2200,2800,s,1200,5951,7151,
v,600,2200,2800,s,1200,5951,7151,
v,600,2200,2800,s,1200,5951,7151,
v,600,2200,2800,s,1200,5951,7151,
v,600,2201,2801,s,1200,5950,7150,
