VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,602,2762,3364,s,1200,5991,7191,
v,600,2753,3353,s,1200,5988,7188,
v,600,2751,3351,s,1200,5982,7182,
v,600,2752,3352,s,1200,5973,7173,
v,600,2752,3352,s,1200,5969,7169,
v,600,2751,3351,s,1200,5967,7167,
v,600,2753,3353,s,1200,5971,7171,
v,600,2751,3351,s,1200,5962,7162,
v,600,2751,3351,s,1200,5974,7174,
v,600,2751,3351,s,1200,5975,7175,
v,600,2753,3353,s,1200,5971,7171,
v,600,2750,3350,s,1200,5970,7170,
v,600,2750,3350,s,1200,5960,7160,
v,600,2753,3353,s,1200,5968,7168,
v,600,2753,3353,s,1200,5962,7162,
v,600,2750,3350,s,1200,5961,7161,
v,600,2753,3353,s,1200,5968,7168,
v,600,2752,3352,s,1200,5961,7161,
v,600,2750,3350,s,1200,5961,7161,
v,600,2751,3351,s,1200,5961,7161,
v,600,2751,3351,s,1200,5960,7160,
v,600,2750,3350,s,1200,5960,7160,
v,600,2751,3351,s,1200,5961,7161,
v,600,2750,3350,s,1200,5963,7163,
v,600,2752,3352,s,1200,5961,7161,
v,600,2751,3351,s,1200,5964,7164,
v,600,2751,3351,s,1200,5960,7160,
v,600,2752,3352,s,1200,5958,7158,
v,600,2752,3352,s,1200,5955,7155,
v,600,2751,3351,s,1200,5964,7164,
v,600,2751,3351,s,1200,5960,7160,
v,600,2751,3351,s,1200,5957,7157,
v,600,2751,3351,s,1200,5956,7156,
v,600,2750,3350,s,1200,5961,7161,
v,600,2750,3350,s,1200,5962,7162,
v,600,2753,3353,s,1200,5957,7157,
v,600,2750,3350,s,1200,5955,7155,
v,600,2750,3350,s,1200,5969,7169,
v,600,2751,3351,s,1200,5957,7157,
v,600,2750,3350,s,1200,5954,7154,
v,600,2751,3351,s,1200,5959,7159,
v,600,2750,3350,s,1200,5961,7161,
v,600,2750,3350,s,1200,5961,7161,
v,600,2751,3351,s,1200,5954,7154,
v,600,2751,3351,s,1200,5964,7164,
v,600,2751,3351,s,1200,5964,7164,
v,600,2752,3352,s,1200,5959,7159,
v,600,2750,3350,s,1200,5960,7160,
v,600,2750,3350,s,1200,5961,7161,
v,600,2750,3350,s,1200,5961,7161,
