VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,602,3860,4462,s,1200,5952,7152,
v,600,3850,4450,s,1200,5950,7150,
v,600,3852,4452,s,1202,5951,7153,
v,600,3850,4450,s,1200,5950,7150,
v,600,3850,4450,s,1200,5949,7149,
v,601,3852,4453,s,1200,5949,7149,
v,600,3850,4450,s,1200,5951,7151,
v,600,3854,4454,s,1200,5950,7150,
v,600,3850,4450,s,1201,5950,7151,
v,601,3849,4450,s,1200,5950,7150,
v,600,3850,4450,s,1200,5954,7154,
v,600,3850,4450,s,1202,5959,7161,
v,600,3850,4450,s,1200,5950,7150,
v,601,3850,4451,s,1200,5950,7150,
v,600,3852,4452,s,1200,5950,7150,
v,600,3850,4450,s,1200,5950,7150,
v,600,3851,4451,s,1200,5953,7153,
v,601,3850,4451,s,1200,5950,7150,
v,600,3850,4450,s,1200,5951,7151,
v,600,3850,4450,s,1200,5951,7151,
v,601,3853,4454,s,1200,5950,7150,
v,600,3852,4452,s,1200,5952,7152,
v,600,3850,4450,s,1200,5950,7150,
v,600,3852,4452,s,1200,5950,7150,
v,601,3850,4451,s,1200,5950,7150,
v,600,3850,4450,s,1200,5950,7150,
v,601,3852,4453,s,1200,5950,7150,
v,602,3851,4453,s,1200,5953,7153,
v,600,3850,4450,s,1201,5953,7154,
v,600,3850,4450,s,1200,5955,7155,
v,600,3851,4451,s,1200,5950,7150,
v,600,3850,4450,s,1200,5950,7150,
v,600,3852,4452,s,1200,5950,7150,
v,600,3850,4450,s,1200,5950,7150,
v,600,3851,4451,s,1202,5960,7162,
v,600,3850,4450,s,1200,5950,7150,
v,600,3850,4450,s,1200,5950,7150,
v,602,3850,4452,s,1200,5949,7149,
v,600,3854,4454,s,1203,5957,7160,
v,600,3853,4453,s,1201,5951,7152,
v,600,3851,4451,s,1201,5951,7152,
v,600,3850,4450,s,1200,5952,7152,
v,600,3850,4450,s,1200,5950,7150,
v,601,3850,4451,s,1202,5970,7172,
v,600,3850,4450,s,1200,5950,7150,
v,600,3850,4450,s,1201,5950,7151,
v,600,3850,4450,s,1200,5955,7155,
v,601,3852,4453,s,1200,5956,7156,
v,600,3856,4456,s,1200,5950,7150,
v,600,3851,4451,s,1200,5952,7152,
