VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,1799,3812,5611,s,1500,6601,8101,
v,1800,3801,5601,s,1500,6600,8100,
v,1800,3800,5600,s,1500,6600,8100,
v,1799,3800,5599,s,1499,6601,8100,
v,1800,3800,5600,s,1500,6600,8100,
v,1798,3800,5598,s,1500,6600,8100,
v,1799,3800,5599,s,1499,6600,8099,
v,1799,3800,5599,s,1500,6600,8100,
v,1798,3800,5598,s,1500,6600,8100,
v,1800,3800,5600,s,1500,6600,8100,
v,1800,3800,5600,s,1500,6600,8100,
v,1800,3800,5600,s,1500,6600,8100,
v,1799,3800,5599,s,1500,6601,8101,
v,1799,3801,5600,s,1499,6600,8099,
v,1798,3800,5598,s,1499,6600,8099,
v,1800,3801,5601,s,1499,6600,8099,
v,1800,3800,5600,s,1500,6600,8100,
v,1798,3801,5599,s,1500,6600,8100,
v,1799,3800,5599,s,1500,6600,8100,
v,1800,3801,5601,s,1500,6601,8101,
v,1800,3801,5601,s,1500,6600,8100,
v,1800,3800,5600,s,1500,6601,8101,
v,1798,3801,5599,s,1500,6601,8101,
v,1797,3800,5597,s,1500,6600,8100,
v,1799,3801,5600,s,1500,6602,8102,
v,1799,3800,5599,s,1500,6600,8100,
v,1798,3800,5598,s,1500,6600,8100,
v,1798,3800,5598,s,1500,6600,8100,
v,1799,3800,5599,s,1500,6600,8100,
v,1797,3800,5597,s,1499,6600,8099,
v,1791,3801,5592,s,1499,6600,8099,
v,1798,3800,5598,s,1499,6600,8099,
v,1796,3800,5596,s,1500,6600,8100,
v,1799,3800,5599,s,1500,6600,8100,
v,1799,3800,5599,s,1500,6601,8101,
v,1796,3800,5596,s,1500,6601,8101,
v,1800,3800,5600,s,1500,6600,8100,
v,1800,3800,5600,s,1500,6600,8100,
v,1799,3801,5600,s,1500,6600,8100,
v,1800,3800,5600,s,1500,6600,8100,
v,1800,3801,5601,s,1500,6600,8100,
v,1800,3800,5600,s,1500,6600,8100,
v,1800,3800,5600,s,1500,6600,8100,
v,1800,3800,5600,s,1500,6600,8100,
v,1800,3800,5600,s,1500,6600,8100,
v,1800,3800,5600,s,1500,6600,8100,
v,1800,3800,5600,s,1500,6600,8100,
v,1800,3800,5600,s,1500,6600,8100,
v,1800,3800,5600,s,1500,6600,8100,
v,1799,3800,5599,s,1500,6600,8100,
