VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,750,4550,5300,s,1500,6703,8203,
v,750,4525,5275,s,1500,6700,8200,
v,750,4526,5276,s,1500,6701,8201,
v,750,4524,5274,s,1500,6701,8201,
v,750,4522,5272,s,1500,6702,8202,
v,750,4526,5276,s,1500,6701,8201,
v,751,4530,5281,s,1500,6701,8201,
v,750,4515,5265,s,1500,6701,8201,
v,750,4515,5265,s,1500,6701,8201,
v,750,4512,5262,s,1500,6682,8182,
v,750,4503,5253,s,1500,6655,8155,
v,750,4501,5251,s,1500,6656,8156,
v,750,4502,5252,s,1500,6660,8160,
v,750,4501,5251,s,1500,6659,8159,
v,750,4501,5251,s,1500,6659,8159,
v,750,4501,5251,s,1500,6669,8169,
v,750,4502,5252,s,1500,6691,8191,
v,750,4501,5251,s,1500,6684,8184,
v,750,4502,5252,s,1500,6678,8178,
v,750,4502,5252,s,1500,6670,8170,
v,750,4500,5250,s,1500,6676,8176,
v,750,4501,5251,s,1500,6679,8179,
v,750,4502,5252,s,1500,6687,8187,
v,750,4501,5251,s,1500,6696,8196,
v,750,4502,5252,s,1500,6681,8181,
v,750,4501,5251,s,1500,6685,8185,
v,750,4501,5251,s,1500,6694,8194,
v,750,4504,5254,s,1500,6690,8190,
v,750,4502,5252,s,1500,6680,8180,
v,750,4502,5252,s,1500,6693,8193,
v,750,4503,5253,s,1500,6686,8186,
v,750,4502,5252,s,1500,6673,8173,
v,750,4502,5252,s,1500,6693,8193,
v,750,4501,5251,s,1500,6675,8175,
v,750,4502,5252,s,1500,6681,8181,
v,750,4501,5251,s,1500,6680,8180,
v,750,4502,5252,s,1500,6682,8182,
v,750,4501,5251,s,1500,6684,8184,
v,750,4501,5251,s,1500,6675,8175,
v,750,4502,5252,s,1500,6675,8175,
v,750,4502,5252,s,1500,6679,8179,
v,750,4502,5252,s,1500,6673,8173,
v,750,4501,5251,s,1500,6667,8167,
v,750,4500,5250,s,1500,6664,8164,
v,750,4502,5252,s,1500,6662,8162,
v,750,4502,5252,s,1500,6664,8164,
v,750,4502,5252,s,1500,6682,8182,
v,750,4502,5252,s,1500,6682,8182,
v,750,4502,5252,s,1500,6685,8185,
v,750,4501,5251,s,1500,6678,8178,
