VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,750,4511,5261,s,1500,6652,8152,
v,750,4501,5251,s,1500,6650,8150,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6650,8150,
v,750,4501,5251,s,1500,6651,8151,
v,750,4500,5250,s,1500,6651,8151,
v,750,4500,5250,s,1500,6650,8150,
v,750,4501,5251,s,1500,6650,8150,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6651,8151,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6651,8151,
v,750,4500,5250,s,1500,6650,8150,
v,750,4501,5251,s,1500,6650,8150,
v,750,4500,5250,s,1500,6651,8151,
v,750,4500,5250,s,1500,6650,8150,
v,750,4501,5251,s,1500,6650,8150,
v,750,4500,5250,s,1500,6650,8150,
v,750,4501,5251,s,1500,6650,8150,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6651,8151,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6651,8151,
v,750,4500,5250,s,1500,6650,8150,
v,750,4501,5251,s,1500,6650,8150,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6651,8151,
v,750,4500,5250,s,1500,6650,8150,
v,750,4500,5250,s,1500,6652,8152,
v,750,4500,5250,s,1500,6651,8151,
v,750,4500,5250,s,1500,6651,8151,
