VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,751,5761,6512,s,1500,6651,8151,
v,750,5750,6500,s,1500,6650,8150,
v,750,5750,6500,s,1500,6650,8150,
v,750,5750,6500,s,1500,6650,8150,
v,750,5750,6500,s,1500,6651,8151,
v,750,5751,6501,s,1500,6650,8150,
v,750,5751,6501,s,1500,6651,8151,
v,750,5751,6501,s,1500,6651,8151,
v,750,5750,6500,s,1500,6651,8151,
v,750,5751,6501,s,1500,6651,8151,
v,750,5751,6501,s,1500,6651,8151,
v,750,5750,6500,s,1500,6651,8151,
v,750,5751,6501,s,1500,6650,8150,
v,750,5751,6501,s,1500,6651,8151,
v,750,5751,6501,s,1500,6651,8151,
v,750,5751,6501,s,1500,6651,8151,
v,750,5751,6501,s,1500,6650,8150,
v,750,5751,6501,s,1500,6651,8151,
v,750,5752,6502,s,1500,6650,8150,
v,750,5752,6502,s,1500,6650,8150,
v,750,5751,6501,s,1500,6650,8150,
v,750,5752,6502,s,1500,6651,8151,
v,750,5752,6502,s,1500,6650,8150,
v,750,5751,6501,s,1500,6650,8150,
v,751,5755,6506,s,1500,6650,8150,
v,750,5751,6501,s,1500,6650,8150,
v,750,5751,6501,s,1500,6650,8150,
v,750,5751,6501,s,1500,6651,8151,
v,750,5751,6501,s,1500,6650,8150,
v,750,5750,6500,s,1500,6651,8151,
v,750,5751,6501,s,1500,6650,8150,
v,750,5751,6501,s,1500,6651,8151,
v,751,5751,6502,s,1500,6650,8150,
v,750,5751,6501,s,1500,6650,8150,
v,750,5751,6501,s,1500,6651,8151,
v,750,5751,6501,s,1500,6650,8150,
v,750,5751,6501,s,1500,6650,8150,
v,750,5751,6501,s,1500,6650,8150,
v,750,5751,6501,s,1500,6650,8150,
v,750,5751,6501,s,1500,6650,8150,
v,751,5751,6502,s,1500,6651,8151,
v,750,5751,6501,s,1500,6651,8151,
v,750,5750,6500,s,1500,6651,8151,
v,750,5751,6501,s,1500,6652,8152,
v,750,5751,6501,s,1500,6650,8150,
v,750,5751,6501,s,1500,6650,8150,
v,750,5751,6501,s,1500,6650,8150,
v,750,5751,6501,s,1500,6650,8150,
v,750,5751,6501,s,1500,6650,8150,
v,750,5752,6502,s,1500,6650,8150,
