VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,650,3884,4534,s,890,5902,6792,
v,650,3883,4533,s,887,5902,6789,
v,650,3881,4531,s,886,5901,6787,
v,650,3883,4533,s,893,5902,6795,
v,650,3892,4542,s,891,5901,6792,
v,650,3891,4541,s,890,5902,6792,
v,650,3898,4548,s,885,5902,6787,
v,650,3898,4548,s,894,5900,6794,
v,650,3898,4548,s,893,5902,6795,
v,650,3897,4547,s,891,5902,6793,
v,650,3898,4548,s,888,5901,6789,
v,650,3899,4549,s,888,5904,6792,
v,650,3897,4547,s,893,5902,6795,
v,650,3900,4550,s,897,5905,6802,
v,650,3900,4550,s,896,5901,6797,
v,650,3899,4549,s,894,5902,6796,
v,650,3900,4550,s,897,5903,6800,
v,650,3899,4549,s,900,5902,6802,
v,650,3900,4550,s,893,5902,6795,
v,650,3900,4550,s,898,5903,6801,
v,650,3899,4549,s,894,5902,6796,
v,650,3900,4550,s,894,5901,6795,
v,650,3900,4550,s,896,5904,6800,
v,650,3900,4550,s,897,5903,6800,
v,650,3900,4550,s,897,5904,6801,
v,650,3900,4550,s,894,5903,6797,
v,650,3900,4550,s,897,5904,6801,
v,650,3900,4550,s,897,5902,6799,
v,650,3900,4550,s,899,5905,6804,
v,650,3900,4550,s,899,5907,6806,
v,650,3901,4551,s,897,5905,6802,
v,650,3900,4550,s,894,5902,6796,
v,650,3900,4550,s,897,5902,6799,
v,650,3900,4550,s,895,5903,6798,
v,650,3900,4550,s,887,5901,6788,
v,650,3900,4550,s,896,5902,6798,
v,650,3900,4550,s,895,5901,6796,
v,650,3900,4550,s,897,5904,6801,
v,650,3900,4550,s,894,5902,6796,
v,650,3900,4550,s,898,5903,6801,
v,650,3900,4550,s,896,5902,6798,
v,650,3900,4550,s,893,5903,6796,
v,650,3899,4549,s,892,5902,6794,
v,650,3899,4549,s,898,5904,6802,
v,650,3900,4550,s,900,5903,6803,
v,650,3899,4549,s,899,5902,6801,
v,650,3900,4550,s,894,5902,6796,
v,650,3899,4549,s,898,5903,6801,
v,650,3899,4549,s,893,5903,6796,
v,650,3900,4550,s,894,5901,6795,
