VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,606,3357,3963,s,900,5894,6794,
v,601,3350,3951,s,900,5889,6789,
v,601,3350,3951,s,900,5897,6797,
v,600,3350,3950,s,900,5888,6788,
v,602,3350,3952,s,900,5898,6798,
v,603,3350,3953,s,900,5896,6796,
v,601,3349,3950,s,900,5893,6793,
v,601,3350,3951,s,900,5895,6795,
v,600,3349,3949,s,900,5898,6798,
v,601,3350,3951,s,900,5893,6793,
v,601,3350,3951,s,900,5898,6798,
v,604,3350,3954,s,900,5900,6800,
v,603,3350,3953,s,900,5896,6796,
v,604,3350,3954,s,900,5899,6799,
v,601,3350,3951,s,900,5896,6796,
v,600,3350,3950,s,900,5902,6802,
v,604,3350,3954,s,900,5900,6800,
v,600,3350,3950,s,900,5900,6800,
v,602,3348,3950,s,900,5898,6798,
v,600,3350,3950,s,900,5900,6800,
v,603,3349,3952,s,900,5900,6800,
v,604,3349,3953,s,900,5900,6800,
v,604,3350,3954,s,900,5900,6800,
v,607,3350,3957,s,900,5900,6800,
v,602,3350,3952,s,900,5900,6800,
v,601,3350,3951,s,900,5900,6800,
v,606,3350,3956,s,900,5900,6800,
v,606,3350,3956,s,900,5900,6800,
v,609,3350,3959,s,900,5900,6800,
v,603,3350,3953,s,900,5900,6800,
v,606,3350,3956,s,900,5900,6800,
v,606,3350,3956,s,900,5900,6800,
v,605,3350,3955,s,900,5900,6800,
v,601,3350,3951,s,900,5900,6800,
v,602,3350,3952,s,900,5900,6800,
v,609,3350,3959,s,900,5899,6799,
v,603,3350,3953,s,900,5900,6800,
v,609,3350,3959,s,900,5900,6800,
v,601,3350,3951,s,900,5900,6800,
v,600,3350,3950,s,900,5900,6800,
v,600,3350,3950,s,900,5900,6800,
v,602,3350,3952,s,900,5899,6799,
v,608,3350,3958,s,900,5900,6800,
v,604,3350,3954,s,900,5900,6800,
v,602,3350,3952,s,900,5900,6800,
v,603,3350,3953,s,900,5900,6800,
v,602,3350,3952,s,900,5900,6800,
v,608,3350,3958,s,900,5899,6799,
v,606,3360,3966,s,900,5900,6800,
v,609,3351,3960,s,900,5903,6803,
