VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,801,10971,11772,s,1500,16455,17955,
v,800,10954,11754,s,1500,16457,17957,
v,800,10953,11753,s,1500,16451,17951,
v,800,10955,11755,s,1500,16454,17954,
v,800,10952,11752,s,1500,16452,17952,
v,800,10954,11754,s,1500,16448,17948,
v,800,10953,11753,s,1500,16440,17940,
v,800,10950,11750,s,1500,16451,17951,
v,800,10951,11751,s,1500,16452,17952,
v,800,10950,11750,s,1500,16452,17952,
v,800,10951,11751,s,1500,16453,17953,
v,800,10950,11750,s,1500,16452,17952,
v,800,10952,11752,s,1500,16452,17952,
v,800,10953,11753,s,1500,16453,17953,
v,800,10952,11752,s,1500,16452,17952,
v,800,10951,11751,s,1500,16451,17951,
v,800,10951,11751,s,1500,16453,17953,
v,800,10950,11750,s,1500,16451,17951,
v,800,10952,11752,s,1500,16450,17950,
v,800,10951,11751,s,1500,16451,17951,
v,800,10952,11752,s,1500,16447,17947,
v,800,10954,11754,s,1500,16439,17939,
v,800,10948,11748,s,1500,16438,17938,
v,800,10950,11750,s,1500,16451,17951,
v,800,10949,11749,s,1500,16452,17952,
v,800,10950,11750,s,1500,16450,17950,
v,800,10952,11752,s,1500,16451,17951,
v,800,10951,11751,s,1500,16451,17951,
v,800,10949,11749,s,1500,16451,17951,
v,800,10955,11755,s,1500,16453,17953,
v,800,10954,11754,s,1500,16449,17949,
v,800,10954,11754,s,1500,16452,17952,
v,800,10953,11753,s,1500,16450,17950,
v,800,10953,11753,s,1500,16452,17952,
v,800,10952,11752,s,1500,16451,17951,
v,800,10951,11751,s,1500,16449,17949,
v,800,10951,11751,s,1500,16448,17948,
v,800,10952,11752,s,1500,16450,17950,
v,800,10954,11754,s,1500,16452,17952,
v,800,10955,11755,s,1500,16453,17953,
v,800,10952,11752,s,1500,16451,17951,
v,800,10951,11751,s,1500,16450,17950,
v,800,10950,11750,s,1500,16451,17951,
v,800,10951,11751,s,1500,16454,17954,
v,800,10950,11750,s,1500,16451,17951,
v,800,10951,11751,s,1500,16450,17950,
v,800,10951,11751,s,1500,16452,17952,
v,800,10951,11751,s,1500,16452,17952,
v,800,10952,11752,s,1500,16451,17951,
v,800,10950,11750,s,1500,16451,17951,
