VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,601,1214,1815,s,900,1977,2877,
v,601,1204,1805,s,900,1976,2876,
v,600,1203,1803,s,900,1983,2883,
v,599,1202,1801,s,901,1985,2886,
v,600,1202,1802,s,900,1985,2885,
v,600,1201,1801,s,900,1980,2880,
v,600,1206,1806,s,900,1975,2875,
v,600,1200,1800,s,900,1976,2876,
v,600,1202,1802,s,900,1986,2886,
v,600,1201,1801,s,900,1981,2881,
v,600,1204,1804,s,900,1984,2884,
v,600,1201,1801,s,900,1989,2889,
v,600,1202,1802,s,900,1990,2890,
v,600,1202,1802,s,900,1976,2876,
v,601,1202,1803,s,900,1988,2888,
v,600,1201,1801,s,900,1988,2888,
v,600,1204,1804,s,901,1991,2892,
v,599,1200,1799,s,900,1985,2885,
v,599,1203,1802,s,900,1996,2896,
v,600,1202,1802,s,900,1986,2886,
v,600,1200,1800,s,901,1987,2888,
v,600,1201,1801,s,900,1994,2894,
v,600,1203,1803,s,900,1980,2880,
v,600,1201,1801,s,900,1979,2879,
v,600,1204,1804,s,900,1986,2886,
v,600,1201,1801,s,900,1992,2892,
v,600,1200,1800,s,901,1986,2887,
v,600,1201,1801,s,900,1977,2877,
v,600,1206,1806,s,900,1993,2893,
v,599,1201,1800,s,901,1993,2894,
v,600,1203,1803,s,901,1992,2893,
v,600,1201,1801,s,900,1992,2892,
v,600,1203,1803,s,900,1978,2878,
v,600,1203,1803,s,901,1986,2887,
v,600,1201,1801,s,900,1986,2886,
v,600,1202,1802,s,900,1982,2882,
v,601,1206,1807,s,901,1990,2891,
v,600,1204,1804,s,901,1990,2891,
v,598,1201,1799,s,900,1988,2888,
v,600,1201,1801,s,902,1988,2890,
v,600,1202,1802,s,900,1981,2881,
v,600,1201,1801,s,900,1984,2884,
v,600,1201,1801,s,901,1984,2885,
v,600,1202,1802,s,900,1987,2887,
v,600,1202,1802,s,900,1993,2893,
v,600,1200,1800,s,902,1992,2894,
v,600,1201,1801,s,902,1992,2894,
v,600,1201,1801,s,900,1989,2889,
v,600,1202,1802,s,901,1995,2896,
v,599,1200,1799,s,900,1984,2884,
