VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,599,1210,1809,s,900,1951,2851,
v,599,1200,1799,s,900,1950,2850,
v,596,1200,1796,s,900,1950,2850,
v,600,1200,1800,s,900,1950,2850,
v,596,1200,1796,s,900,1950,2850,
v,600,1200,1800,s,900,1950,2850,
v,598,1200,1798,s,900,1950,2850,
v,600,1200,1800,s,900,1950,2850,
v,600,1200,1800,s,900,1950,2850,
v,600,1200,1800,s,900,1950,2850,
v,600,1200,1800,s,900,1950,2850,
v,600,1200,1800,s,900,1951,2851,
v,600,1200,1800,s,900,1951,2851,
v,600,1200,1800,s,900,1950,2850,
v,597,1200,1797,s,900,1950,2850,
v,599,1200,1799,s,900,1951,2851,
v,600,1200,1800,s,900,1950,2850,
v,600,1200,1800,s,900,1950,2850,
v,595,1200,1795,s,900,1950,2850,
v,599,1200,1799,s,900,1951,2851,
v,600,1200,1800,s,900,1950,2850,
v,600,1200,1800,s,900,1950,2850,
v,600,1200,1800,s,900,1950,2850,
v,600,1200,1800,s,900,1951,2851,
v,598,1200,1798,s,900,1950,2850,
v,599,1200,1799,s,900,1951,2851,
v,600,1200,1800,s,900,1950,2850,
v,599,1200,1799,s,900,1950,2850,
v,596,1200,1796,s,900,1950,2850,
v,600,1200,1800,s,900,1951,2851,
v,600,1200,1800,s,900,1950,2850,
v,599,1200,1799,s,900,1951,2851,
v,600,1200,1800,s,900,1950,2850,
v,600,1200,1800,s,900,1950,2850,
v,599,1200,1799,s,900,1950,2850,
v,600,1200,1800,s,900,1950,2850,
v,594,1200,1794,s,900,1951,2851,
v,595,1200,1795,s,900,1951,2851,
v,599,1200,1799,s,900,1952,2852,
v,596,1200,1796,s,900,1950,2850,
v,598,1200,1798,s,900,1951,2851,
v,600,1200,1800,s,900,1951,2851,
v,596,1200,1796,s,900,1951,2851,
v,596,1200,1796,s,900,1951,2851,
v,600,1200,1800,s,900,1951,2851,
v,593,1200,1793,s,900,1951,2851,
v,599,1200,1799,s,900,1951,2851,
v,597,1200,1797,s,900,1951,2851,
v,600,1200,1800,s,900,1951,2851,
v,598,1200,1798,s,900,1951,2851,
