VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,600,2210,2810,s,1800,4003,5803,
v,601,2201,2802,s,1800,4000,5800,
v,600,2200,2800,s,1800,4003,5803,
v,600,2201,2801,s,1800,4002,5802,
v,600,2200,2800,s,1802,4015,5817,
v,600,2200,2800,s,1800,4000,5800,
v,600,2200,2800,s,1800,4000,5800,
v,600,2200,2800,s,1803,4001,5804,
v,601,2204,2805,s,1800,4003,5803,
v,600,2200,2800,s,1800,4000,5800,
v,600,2202,2802,s,1800,4000,5800,
v,600,2200,2800,s,1801,4008,5809,
v,600,2200,2800,s,1800,4001,5801,
v,600,2200,2800,s,1804,4001,5805,
v,600,2201,2801,s,1801,4007,5808,
v,600,2200,2800,s,1800,4002,5802,
v,600,2200,2800,s,1801,4008,5809,
v,600,2200,2800,s,1800,4011,5811,
v,600,2201,2801,s,1800,4000,5800,
v,600,2200,2800,s,1800,4007,5807,
v,600,2200,2800,s,1800,4001,5801,
v,600,2203,2803,s,1800,4001,5801,
v,600,2200,2800,s,1805,4003,5808,
v,600,2203,2803,s,1801,4001,5802,
v,600,2201,2801,s,1801,4002,5803,
v,600,2200,2800,s,1802,4006,5808,
v,600,2200,2800,s,1800,4000,5800,
v,600,2201,2801,s,1800,4000,5800,
v,601,2200,2801,s,1803,4002,5805,
v,600,2200,2800,s,1800,4000,5800,
v,602,2204,2806,s,1800,4009,5809,
v,600,2205,2805,s,1804,4003,5807,
v,600,2204,2804,s,1800,4000,5800,
v,600,2200,2800,s,1805,4001,5806,
v,600,2201,2801,s,1801,4001,5802,
v,600,2201,2801,s,1802,4000,5802,
v,600,2201,2801,s,1800,4000,5800,
v,600,2200,2800,s,1800,4010,5810,
v,600,2200,2800,s,1800,4004,5804,
v,601,2201,2802,s,1800,4000,5800,
v,601,2201,2802,s,1800,4001,5801,
v,600,2200,2800,s,1803,4003,5806,
v,601,2201,2802,s,1800,4006,5806,
v,600,2201,2801,s,1801,4003,5804,
v,600,2200,2800,s,1800,4013,5813,
v,601,2200,2801,s,1800,4002,5802,
v,600,2203,2803,s,1802,4000,5802,
v,600,2200,2800,s,1800,4011,5811,
v,601,2201,2802,s,1800,4000,5800,
v,600,2200,2800,s,1800,4000,5800,
