VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,600,1559,2159,s,1200,5302,6502,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
