VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,600,1899,2499,s,1200,5252,6452,
v,600,1898,2498,s,1200,5250,6450,
v,600,1892,2492,s,1200,5251,6451,
v,600,1894,2494,s,1200,5251,6451,
v,600,1896,2496,s,1200,5251,6451,
v,600,1898,2498,s,1200,5251,6451,
v,600,1898,2498,s,1200,5252,6452,
v,600,1900,2500,s,1200,5251,6451,
v,600,1897,2497,s,1200,5252,6452,
v,600,1899,2499,s,1200,5250,6450,
v,600,1897,2497,s,1200,5251,6451,
v,600,1899,2499,s,1200,5253,6453,
v,600,1899,2499,s,1200,5251,6451,
v,600,1896,2496,s,1200,5250,6450,
v,600,1899,2499,s,1200,5251,6451,
v,600,1900,2500,s,1200,5251,6451,
v,600,1900,2500,s,1200,5251,6451,
v,600,1899,2499,s,1200,5250,6450,
v,600,1897,2497,s,1200,5261,6461,
v,600,1899,2499,s,1200,5250,6450,
v,600,1898,2498,s,1200,5251,6451,
v,600,1900,2500,s,1200,5252,6452,
v,600,1898,2498,s,1200,5250,6450,
v,600,1893,2493,s,1200,5251,6451,
v,600,1900,2500,s,1200,5251,6451,
v,600,1898,2498,s,1200,5251,6451,
v,600,1898,2498,s,1200,5251,6451,
v,600,1898,2498,s,1200,5250,6450,
v,600,1900,2500,s,1200,5252,6452,
v,600,1899,2499,s,1200,5251,6451,
v,600,1898,2498,s,1200,5252,6452,
v,600,1899,2499,s,1200,5252,6452,
v,600,1898,2498,s,1200,5250,6450,
v,600,1900,2500,s,1200,5253,6453,
v,600,1900,2500,s,1200,5251,6451,
v,600,1900,2500,s,1200,5251,6451,
v,600,1900,2500,s,1200,5252,6452,
v,600,1900,2500,s,1200,5251,6451,
v,600,1898,2498,s,1200,5251,6451,
v,600,1899,2499,s,1200,5251,6451,
v,600,1900,2500,s,1200,5251,6451,
v,600,1898,2498,s,1200,5251,6451,
v,600,1897,2497,s,1200,5251,6451,
v,600,1898,2498,s,1200,5252,6452,
v,600,1899,2499,s,1200,5251,6451,
v,600,1900,2500,s,1200,5251,6451,
v,600,1900,2500,s,1200,5252,6452,
v,600,1899,2499,s,1200,5250,6450,
v,600,1898,2498,s,1200,5252,6452,
v,600,1896,2496,s,1200,5251,6451,
