VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,650,5575,6225,s,2700,17810,20510,
v,650,5568,6218,s,2700,17823,20523,
v,650,5572,6222,s,2701,17806,20507,
v,650,5565,6215,s,2700,17801,20501,
v,650,5565,6215,s,2699,17808,20507,
v,650,5569,6219,s,2699,17801,20500,
v,650,5562,6212,s,2700,17848,20548,
v,650,5570,6220,s,2700,17952,20652,
v,650,5572,6222,s,2699,17801,20500,
v,650,5576,6226,s,2700,17851,20551,
v,650,5568,6218,s,2700,17980,20680,
v,650,5567,6217,s,2700,17801,20501,
v,650,5559,6209,s,2700,17815,20515,
v,650,5570,6220,s,2700,17925,20625,
v,650,5570,6220,s,2700,17807,20507,
v,650,5575,6225,s,2700,17807,20507,
v,650,5568,6218,s,2700,18019,20719,
v,650,5571,6221,s,2700,17805,20505,
v,650,5568,6218,s,2700,17851,20551,
v,650,5574,6224,s,2700,18000,20700,
v,650,5575,6225,s,2700,17813,20513,
v,650,5575,6225,s,2700,17825,20525,
v,650,5564,6214,s,2700,17892,20592,
v,650,5573,6223,s,2700,17801,20501,
v,650,5561,6211,s,2700,17801,20501,
v,650,5566,6216,s,2700,17802,20502,
v,650,5561,6211,s,2700,17888,20588,
v,650,5563,6213,s,2700,17801,20501,
v,650,5563,6213,s,2700,17901,20601,
v,650,5560,6210,s,2700,17800,20500,
v,650,5565,6215,s,2700,17800,20500,
v,650,5556,6206,s,2700,17904,20604,
v,650,5563,6213,s,2700,17880,20580,
v,650,5570,6220,s,2700,17808,20508,
v,650,5566,6216,s,2700,17852,20552,
v,650,5560,6210,s,2700,17944,20644,
v,650,5559,6209,s,2700,17809,20509,
v,650,5567,6217,s,2700,17851,20551,
v,650,5562,6212,s,2700,17965,20665,
v,650,5567,6217,s,2700,17802,20502,
v,650,5571,6221,s,2700,17851,20551,
v,650,5567,6217,s,2700,17914,20614,
v,650,5567,6217,s,2700,17804,20504,
v,650,5569,6219,s,2700,17850,20550,
v,650,5566,6216,s,2700,17929,20629,
v,650,5575,6225,s,2700,17823,20523,
v,650,5569,6219,s,2700,17851,20551,
v,650,5563,6213,s,2700,17934,20634,
v,650,5562,6212,s,2700,17884,20584,
v,650,5566,6216,s,2700,17801,20501,
