VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,907,6632,7539,s,1373,10724,12097,
v,901,6354,7255,s,1390,11180,12570,
v,906,6434,7340,s,1407,11097,12504,
v,953,6446,7399,s,1386,11219,12605,
v,946,6848,7794,s,1386,10796,12182,
v,895,6303,7198,s,1408,11054,12462,
v,918,6481,7399,s,1435,11041,12476,
v,906,6525,7431,s,1379,11034,12413,
v,895,6332,7227,s,1422,11277,12699,
v,898,6500,7398,s,1369,10731,12100,
v,901,6317,7218,s,1393,10947,12340,
v,920,6704,7624,s,1426,11152,12578,
v,897,6391,7288,s,1422,11212,12634,
v,901,6306,7207,s,1440,10856,12296,
v,918,6541,7459,s,1399,10976,12375,
v,896,6275,7171,s,1389,10875,12264,
v,857,6030,6887,s,1309,10305,11614,
v,874,6091,6965,s,1349,10410,11759,
v,860,6021,6881,s,1378,10804,12182,
v,917,6294,7211,s,1392,10915,12307,
