VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,458,9389,9847,s,1318,10350,11668,
v,466,9584,10050,s,1352,10920,12272,
v,451,9017,9468,s,1302,10230,11532,
v,455,9261,9716,s,1345,10517,11862,
v,454,9111,9565,s,1312,10260,11572,
v,452,9060,9512,s,1308,10242,11550,
v,449,9057,9506,s,1320,10312,11632,
v,453,9054,9507,s,1320,10463,11783,
v,463,9220,9683,s,1348,10712,12060,
v,490,9524,10014,s,1326,10428,11754,
v,451,9086,9537,s,1322,10318,11640,
v,455,9146,9601,s,1303,10311,11614,
v,450,9079,9529,s,1315,10307,11622,
v,451,9086,9537,s,1306,10247,11553,
v,452,9057,9509,s,1318,10285,11603,
v,455,9046,9501,s,1380,10827,12207,
v,459,9246,9705,s,1319,10248,11567,
v,454,9080,9534,s,1314,10270,11584,
v,458,9193,9651,s,1339,10545,11884,
v,453,9094,9547,s,1359,10568,11927,
