VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,573,1561,2134,s,599,1300,1899,
v,582,1550,2132,s,600,1300,1900,
v,576,1550,2126,s,599,1300,1899,
v,566,1550,2116,s,600,1300,1900,
v,569,1550,2119,s,600,1300,1900,
v,575,1550,2125,s,599,1300,1899,
v,571,1550,2121,s,598,1300,1898,
v,561,1550,2111,s,600,1300,1900,
v,572,1550,2122,s,600,1300,1900,
v,567,1550,2117,s,599,1300,1899,
v,574,1550,2124,s,600,1300,1900,
v,566,1550,2116,s,599,1300,1899,
v,570,1550,2120,s,600,1300,1900,
v,572,1550,2122,s,600,1300,1900,
v,567,1550,2117,s,600,1300,1900,
v,568,1550,2118,s,599,1300,1899,
v,572,1550,2122,s,599,1300,1899,
v,566,1550,2116,s,600,1300,1900,
v,575,1550,2125,s,600,1300,1900,
v,567,1550,2117,s,600,1300,1900,
v,578,1550,2128,s,600,1300,1900,
v,589,1550,2139,s,600,1300,1900,
v,576,1550,2126,s,600,1300,1900,
v,572,1550,2122,s,600,1300,1900,
v,577,1550,2127,s,599,1300,1899,
v,575,1550,2125,s,600,1300,1900,
v,577,1550,2127,s,600,1300,1900,
v,581,1550,2131,s,600,1300,1900,
v,584,1550,2134,s,599,1300,1899,
v,572,1550,2122,s,600,1300,1900,
v,579,1550,2129,s,600,1300,1900,
v,579,1550,2129,s,600,1300,1900,
v,582,1550,2132,s,600,1300,1900,
v,579,1550,2129,s,600,1300,1900,
v,579,1550,2129,s,600,1300,1900,
v,585,1550,2135,s,600,1300,1900,
v,586,1550,2136,s,599,1300,1899,
v,580,1550,2130,s,600,1300,1900,
v,589,1550,2139,s,600,1300,1900,
v,574,1550,2124,s,598,1300,1898,
v,581,1550,2131,s,600,1300,1900,
v,576,1550,2126,s,598,1300,1898,
v,589,1550,2139,s,600,1300,1900,
v,574,1550,2124,s,600,1300,1900,
v,586,1550,2136,s,600,1300,1900,
v,573,1550,2123,s,599,1300,1899,
v,583,1550,2133,s,600,1300,1900,
v,579,1550,2129,s,600,1300,1900,
v,588,1550,2138,s,600,1300,1900,
v,582,1550,2132,s,600,1300,1900,
