VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,2552,8021,10573,s,4803,12502,17305,
v,2554,8007,10561,s,4801,12497,17298,
v,2550,8001,10551,s,4806,12493,17299,
v,2553,8000,10553,s,4801,12486,17287,
v,2551,8016,10567,s,4802,12505,17307,
v,2550,8008,10558,s,4800,12493,17293,
v,2550,8001,10551,s,4800,12491,17291,
v,2552,8005,10557,s,4800,12493,17293,
v,2551,8005,10556,s,4801,12482,17283,
v,2550,8006,10556,s,4802,12503,17305,
v,2550,8002,10552,s,4805,12494,17299,
v,2554,8003,10557,s,4800,12494,17294,
v,2550,8003,10553,s,4803,12499,17302,
v,2555,8016,10571,s,4800,12498,17298,
v,2550,8002,10552,s,4805,12498,17303,
v,2554,8003,10557,s,4800,12497,17297,
v,2550,8001,10551,s,4800,12498,17298,
v,2550,8002,10552,s,4802,12493,17295,
v,2550,8002,10552,s,4800,12498,17298,
v,2550,7971,10521,s,4775,12450,17225,
v,2550,7986,10536,s,4762,12450,17212,
v,2550,7996,10546,s,4778,12451,17229,
v,2550,7995,10545,s,4780,12451,17231,
v,2550,7996,10546,s,4773,12451,17224,
v,2550,7982,10532,s,4774,12450,17224,
v,2550,7995,10545,s,4765,12451,17216,
v,2550,7991,10541,s,4773,12450,17223,
v,2550,7991,10541,s,4779,12450,17229,
v,2550,7997,10547,s,4780,12450,17230,
v,2550,7989,10539,s,4763,12450,17213,
v,2550,7983,10533,s,4785,12455,17240,
v,2550,7991,10541,s,4770,12450,17220,
v,2550,7997,10547,s,4777,12450,17227,
v,2550,7989,10539,s,4774,12450,17224,
v,2550,7995,10545,s,4763,12449,17212,
v,2550,7978,10528,s,4777,12450,17227,
v,2550,7988,10538,s,4776,12451,17227,
v,2550,7969,10519,s,4761,12450,17211,
v,2550,7972,10522,s,4787,12450,17237,
v,2550,7992,10542,s,4783,12450,17233,
v,2550,7989,10539,s,4778,12450,17228,
v,2550,7991,10541,s,4777,12451,17228,
v,2550,7991,10541,s,4776,12450,17226,
v,2550,7993,10543,s,4765,12450,17215,
v,2550,7993,10543,s,4784,12450,17234,
v,2550,7976,10526,s,4768,12450,17218,
v,2550,7992,10542,s,4786,12450,17236,
v,2550,7998,10548,s,4776,12450,17226,
v,2550,7995,10545,s,4790,12450,17240,
v,2550,7993,10543,s,4787,12450,17237,
