VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,354,996,1350,s,694,3318,4012,
v,342,972,1314,s,678,3218,3896,
v,347,961,1308,s,686,3182,3868,
v,341,973,1314,s,672,3182,3854,
v,343,965,1308,s,684,3191,3875,
v,337,956,1293,s,686,3208,3894,
v,351,1003,1354,s,685,3208,3893,
v,345,987,1332,s,688,3206,3894,
v,348,989,1337,s,694,3287,3981,
v,351,996,1347,s,706,3306,4012,
v,351,994,1345,s,678,3200,3878,
v,344,973,1317,s,689,3238,3927,
v,338,973,1311,s,676,3190,3866,
v,346,972,1318,s,679,3222,3901,
v,346,971,1317,s,688,3230,3918,
v,347,979,1326,s,683,3189,3872,
v,344,982,1326,s,695,3299,3994,
v,349,990,1339,s,696,3302,3998,
v,343,963,1306,s,686,3207,3893,
v,340,964,1304,s,678,3193,3871,
