VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,423,4335,4758,s,866,9236,10102,
v,410,4187,4597,s,851,9024,9875,
v,408,4188,4596,s,872,9102,9974,
v,408,4184,4592,s,866,9143,10009,
v,413,4229,4642,s,866,9061,9927,
v,421,4213,4634,s,861,9051,9912,
v,404,4198,4602,s,854,9008,9862,
v,407,4170,4577,s,850,9026,9876,
v,416,4252,4668,s,865,9135,10000,
v,414,4221,4635,s,868,9102,9970,
v,421,4279,4700,s,868,9218,10086,
v,406,4184,4590,s,853,9023,9876,
v,410,4171,4581,s,854,9001,9855,
v,411,4166,4577,s,871,9038,9909,
v,420,4297,4717,s,863,9196,10059,
v,409,4184,4593,s,853,9049,9902,
v,417,4255,4672,s,869,9193,10062,
v,408,4222,4630,s,857,9068,9925,
v,409,4230,4639,s,863,9126,9989,
v,417,4262,4679,s,859,9200,10059,
