VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,351,1340,1691,s,1730,3669,5399,
v,342,1292,1634,s,1763,3605,5368,
v,340,1289,1629,s,1717,3561,5278,
v,346,1293,1639,s,1739,3615,5354,
v,341,1305,1646,s,1733,3731,5464,
v,342,1297,1639,s,1722,3605,5327,
v,346,1334,1680,s,1744,3692,5436,
v,346,1303,1649,s,1739,3628,5367,
v,346,1334,1680,s,1762,3681,5443,
v,346,1332,1678,s,1744,3607,5351,
v,351,1349,1700,s,1748,3680,5428,
v,347,1343,1690,s,1705,3608,5313,
v,342,1290,1632,s,1701,3571,5272,
v,340,1284,1624,s,1718,3611,5329,
v,340,1297,1637,s,1718,3547,5265,
v,338,1290,1628,s,1742,3627,5369,
v,335,1290,1625,s,1701,3581,5282,
v,339,1303,1642,s,1711,3617,5328,
v,345,1289,1634,s,1710,3564,5274,
v,350,1320,1670,s,1707,3591,5298,
