VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,349,1358,1707,s,1709,3583,5292,
v,340,1292,1632,s,1746,3563,5309,
v,340,1309,1649,s,1711,3559,5270,
v,333,1289,1622,s,1702,3566,5268,
v,336,1288,1624,s,1682,3574,5256,
v,334,1309,1643,s,1712,3562,5274,
v,333,1294,1627,s,1697,3557,5254,
v,339,1293,1632,s,1706,3573,5279,
v,341,1308,1649,s,1711,3561,5272,
v,335,1302,1637,s,1689,3579,5268,
v,339,1303,1642,s,1712,3602,5314,
v,336,1285,1621,s,1694,3556,5250,
v,343,1300,1643,s,1700,3560,5260,
v,343,1321,1664,s,1750,3649,5399,
v,345,1342,1687,s,1740,3657,5397,
v,335,1290,1625,s,1716,3555,5271,
v,342,1308,1650,s,1684,3539,5223,
v,342,1300,1642,s,1707,3572,5279,
v,336,1293,1629,s,1691,3546,5237,
v,342,1309,1651,s,1690,3555,5245,
