VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,376,536,912,s,514,1081,1595,
v,341,522,863,s,576,1107,1683,
v,341,506,847,s,519,1081,1600,
v,341,497,838,s,510,1071,1581,
v,348,515,863,s,511,1071,1582,
v,329,499,828,s,507,1063,1570,
v,341,497,838,s,517,1076,1593,
v,336,496,832,s,508,1073,1581,
v,331,494,825,s,509,1077,1586,
v,334,502,836,s,518,1080,1598,
v,340,505,845,s,520,1078,1598,
v,332,498,830,s,510,1087,1597,
v,341,505,846,s,522,1089,1611,
v,348,506,854,s,525,1099,1624,
v,337,500,837,s,512,1068,1580,
v,331,502,833,s,511,1078,1589,
v,340,507,847,s,564,1195,1759,
v,337,498,835,s,521,1084,1605,
v,342,505,847,s,523,1102,1625,
v,344,511,855,s,525,1104,1629,
