VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,900,4461,5361,s,1500,6700,8200,
v,900,4450,5350,s,1500,6696,8196,
v,900,4451,5351,s,1500,6677,8177,
v,900,4451,5351,s,1500,6674,8174,
v,900,4450,5350,s,1500,6666,8166,
v,900,4450,5350,s,1500,6670,8170,
v,900,4450,5350,s,1500,6669,8169,
v,900,4451,5351,s,1500,6662,8162,
v,900,4450,5350,s,1500,6666,8166,
v,900,4451,5351,s,1500,6667,8167,
v,900,4450,5350,s,1500,6662,8162,
v,900,4451,5351,s,1500,6663,8163,
v,900,4451,5351,s,1500,6661,8161,
v,900,4450,5350,s,1500,6661,8161,
v,900,4450,5350,s,1500,6668,8168,
v,900,4451,5351,s,1500,6665,8165,
v,900,4450,5350,s,1500,6668,8168,
v,900,4451,5351,s,1500,6667,8167,
v,900,4450,5350,s,1500,6665,8165,
v,900,4450,5350,s,1500,6657,8157,
v,900,4451,5351,s,1500,6670,8170,
v,900,4450,5350,s,1500,6662,8162,
v,900,4450,5350,s,1500,6662,8162,
v,900,4450,5350,s,1500,6669,8169,
v,900,4450,5350,s,1500,6660,8160,
v,900,4450,5350,s,1500,6657,8157,
v,900,4450,5350,s,1500,6664,8164,
v,900,4451,5351,s,1500,6665,8165,
v,900,4451,5351,s,1500,6659,8159,
v,900,4450,5350,s,1500,6668,8168,
v,900,4450,5350,s,1500,6666,8166,
v,900,4450,5350,s,1500,6665,8165,
v,900,4450,5350,s,1500,6673,8173,
v,900,4450,5350,s,1500,6679,8179,
v,900,4450,5350,s,1500,6667,8167,
v,900,4451,5351,s,1500,6659,8159,
v,900,4451,5351,s,1500,6670,8170,
v,900,4450,5350,s,1500,6670,8170,
v,900,4450,5350,s,1500,6661,8161,
v,900,4450,5350,s,1500,6665,8165,
v,900,4450,5350,s,1500,6662,8162,
v,900,4450,5350,s,1500,6669,8169,
v,900,4450,5350,s,1500,6662,8162,
v,900,4450,5350,s,1500,6659,8159,
v,900,4450,5350,s,1500,6674,8174,
v,900,4451,5351,s,1500,6666,8166,
v,900,4450,5350,s,1500,6662,8162,
v,900,4450,5350,s,1500,6654,8154,
v,900,4450,5350,s,1500,6672,8172,
v,900,4451,5351,s,1500,6667,8167,
