VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,700,6213,6913,s,1200,10535,11735,
v,700,6200,6900,s,1200,10550,11750,
v,700,6200,6900,s,1200,10533,11733,
v,700,6200,6900,s,1200,10550,11750,
v,700,6200,6900,s,1200,10546,11746,
v,700,6200,6900,s,1200,10550,11750,
v,700,6201,6901,s,1200,10545,11745,
v,700,6201,6901,s,1200,10550,11750,
v,700,6200,6900,s,1200,10546,11746,
v,700,6200,6900,s,1200,10550,11750,
v,700,6200,6900,s,1200,10546,11746,
v,700,6200,6900,s,1200,10550,11750,
v,700,6200,6900,s,1200,10530,11730,
v,700,6200,6900,s,1200,10550,11750,
v,700,6200,6900,s,1200,10542,11742,
v,700,6200,6900,s,1200,10550,11750,
v,700,6200,6900,s,1200,10542,11742,
v,700,6200,6900,s,1200,10550,11750,
v,700,6200,6900,s,1200,10530,11730,
v,700,6200,6900,s,1200,10550,11750,
v,700,6200,6900,s,1200,10528,11728,
v,700,6200,6900,s,1200,10550,11750,
v,700,6201,6901,s,1200,10534,11734,
v,700,6200,6900,s,1200,10550,11750,
v,700,6201,6901,s,1200,10532,11732,
v,700,6200,6900,s,1200,10550,11750,
v,700,6200,6900,s,1200,10522,11722,
v,700,6200,6900,s,1200,10553,11753,
v,700,6201,6901,s,1200,10544,11744,
v,700,6200,6900,s,1200,10550,11750,
v,700,6200,6900,s,1200,10522,11722,
v,700,6200,6900,s,1200,10550,11750,
v,700,6200,6900,s,1200,10534,11734,
v,700,6200,6900,s,1200,10550,11750,
v,700,6200,6900,s,1200,10533,11733,
v,700,6200,6900,s,1200,10550,11750,
v,700,6200,6900,s,1200,10544,11744,
v,700,6200,6900,s,1200,10550,11750,
v,700,6200,6900,s,1200,10540,11740,
v,700,6200,6900,s,1200,10550,11750,
v,700,6200,6900,s,1200,10526,11726,
v,700,6200,6900,s,1200,10550,11750,
v,700,6200,6900,s,1200,10539,11739,
v,700,6200,6900,s,1200,10550,11750,
v,700,6200,6900,s,1200,10532,11732,
v,700,6200,6900,s,1200,10550,11750,
v,700,6200,6900,s,1200,10542,11742,
v,700,6200,6900,s,1200,10550,11750,
v,700,6200,6900,s,1200,10520,11720,
v,700,6200,6900,s,1200,10550,11750,
