VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,701,8173,8874,s,1200,10553,11753,
v,700,8177,8877,s,1200,10554,11754,
v,702,8190,8892,s,1200,10551,11751,
v,703,8203,8906,s,1200,10551,11751,
v,700,8161,8861,s,1200,10550,11750,
v,701,8191,8892,s,1201,10558,11759,
v,704,8184,8888,s,1203,10562,11765,
v,700,8176,8876,s,1200,10554,11754,
v,700,8188,8888,s,1203,10551,11754,
v,700,8200,8900,s,1200,10551,11751,
v,700,8180,8880,s,1203,10552,11755,
v,703,8212,8915,s,1202,10557,11759,
v,701,8189,8890,s,1200,10560,11760,
v,701,8189,8890,s,1200,10552,11752,
v,701,8178,8879,s,1200,10557,11757,
v,700,8195,8895,s,1201,10569,11770,
v,700,8184,8884,s,1203,10559,11762,
v,701,8199,8900,s,1200,10578,11778,
v,701,8185,8886,s,1201,10557,11758,
v,701,8197,8898,s,1200,10556,11756,
v,701,8193,8894,s,1203,10552,11755,
v,701,8201,8902,s,1201,10551,11752,
v,700,8184,8884,s,1200,10559,11759,
v,701,8194,8895,s,1202,10553,11755,
v,701,8187,8888,s,1200,10571,11771,
v,701,8204,8905,s,1201,10557,11758,
v,701,8193,8894,s,1200,10557,11757,
v,701,8187,8888,s,1201,10553,11754,
v,700,8208,8908,s,1201,10592,11793,
v,701,8210,8911,s,1200,10566,11766,
v,701,8205,8906,s,1201,10576,11777,
v,700,8208,8908,s,1200,10583,11783,
v,701,8207,8908,s,1200,10574,11774,
v,702,8212,8914,s,1200,10588,11788,
v,701,8204,8905,s,1202,10592,11794,
v,704,8210,8914,s,1200,10564,11764,
v,705,8213,8918,s,1201,10597,11798,
v,700,8212,8912,s,1200,10600,11800,
v,700,8178,8878,s,1200,10552,11752,
v,700,8196,8896,s,1201,10558,11759,
v,701,8199,8900,s,1200,10559,11759,
v,701,8198,8899,s,1201,10557,11758,
v,701,8194,8895,s,1203,10553,11756,
v,700,8206,8906,s,1201,10552,11753,
v,701,8189,8890,s,1200,10550,11750,
v,700,8200,8900,s,1200,10578,11778,
v,701,8204,8905,s,1200,10559,11759,
v,702,8208,8910,s,1201,10566,11767,
v,701,8205,8906,s,1201,10598,11799,
v,702,8210,8912,s,1202,10566,11768,
