VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,600,1461,2061,s,1200,5312,6512,
v,600,1450,2050,s,1200,5300,6500,
v,600,1452,2052,s,1200,5310,6510,
v,600,1450,2050,s,1201,5302,6503,
v,600,1450,2050,s,1201,5302,6503,
v,600,1450,2050,s,1200,5306,6506,
v,600,1450,2050,s,1201,5300,6501,
v,600,1450,2050,s,1200,5301,6501,
v,600,1450,2050,s,1200,5303,6503,
v,600,1450,2050,s,1201,5300,6501,
v,600,1450,2050,s,1202,5304,6506,
v,600,1451,2051,s,1200,5302,6502,
v,600,1453,2053,s,1200,5301,6501,
v,600,1450,2050,s,1200,5301,6501,
v,600,1450,2050,s,1200,5300,6500,
v,600,1453,2053,s,1201,5303,6504,
v,600,1450,2050,s,1201,5302,6503,
v,600,1450,2050,s,1200,5301,6501,
v,601,1452,2053,s,1200,5302,6502,
v,601,1450,2051,s,1200,5302,6502,
v,600,1450,2050,s,1202,5301,6503,
v,600,1452,2052,s,1201,5301,6502,
v,600,1452,2052,s,1200,5302,6502,
v,600,1450,2050,s,1200,5301,6501,
v,600,1450,2050,s,1202,5303,6505,
v,600,1450,2050,s,1201,5304,6505,
v,600,1450,2050,s,1200,5321,6521,
v,600,1450,2050,s,1201,5313,6514,
v,600,1450,2050,s,1204,5306,6510,
v,600,1450,2050,s,1200,5306,6506,
v,601,1450,2051,s,1200,5303,6503,
v,600,1450,2050,s,1201,5302,6503,
v,600,1450,2050,s,1200,5301,6501,
v,600,1450,2050,s,1200,5302,6502,
v,600,1450,2050,s,1200,5302,6502,
v,600,1450,2050,s,1201,5301,6502,
v,600,1450,2050,s,1200,5304,6504,
v,600,1450,2050,s,1200,5302,6502,
v,600,1450,2050,s,1202,5309,6511,
v,600,1450,2050,s,1204,5310,6514,
v,600,1450,2050,s,1200,5302,6502,
v,600,1452,2052,s,1201,5302,6503,
v,600,1450,2050,s,1200,5303,6503,
v,600,1453,2053,s,1203,5303,6506,
v,600,1453,2053,s,1200,5301,6501,
v,600,1451,2051,s,1200,5301,6501,
v,600,1450,2050,s,1203,5327,6530,
v,600,1450,2050,s,1201,5303,6504,
v,600,1450,2050,s,1200,5302,6502,
v,600,1450,2050,s,1200,5302,6502,
