VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,600,1622,2222,s,1201,5440,6641,
v,600,1600,2200,s,1200,5368,6568,
v,600,1596,2196,s,1200,5356,6556,
v,600,1598,2198,s,1200,5391,6591,
v,600,1598,2198,s,1200,5352,6552,
v,600,1600,2200,s,1200,5382,6582,
v,600,1550,2150,s,1200,5340,6540,
v,600,1573,2173,s,1200,5367,6567,
v,600,1560,2160,s,1200,5370,6570,
v,600,1588,2188,s,1200,5376,6576,
v,600,1573,2173,s,1200,5345,6545,
v,600,1550,2150,s,1200,5370,6570,
v,600,1591,2191,s,1200,5393,6593,
v,600,1596,2196,s,1200,5377,6577,
v,600,1585,2185,s,1200,5384,6584,
v,600,1552,2152,s,1202,5406,6608,
v,600,1608,2208,s,1205,5449,6654,
v,600,1620,2220,s,1210,5449,6659,
v,600,1600,2200,s,1204,5439,6643,
v,600,1599,2199,s,1200,5319,6519,
v,600,1562,2162,s,1200,5311,6511,
v,600,1556,2156,s,1200,5363,6563,
v,600,1595,2195,s,1200,5309,6509,
v,600,1552,2152,s,1200,5310,6510,
v,600,1550,2150,s,1200,5301,6501,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5301,6501,
v,600,1550,2150,s,1200,5301,6501,
v,600,1550,2150,s,1200,5301,6501,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5301,6501,
v,600,1550,2150,s,1200,5300,6500,
v,600,1550,2150,s,1200,5301,6501,
v,600,1550,2150,s,1200,5301,6501,
v,600,1550,2150,s,1200,5302,6502,
v,600,1550,2150,s,1200,5301,6501,
v,600,1550,2150,s,1200,5301,6501,
v,600,1550,2150,s,1200,5301,6501,
v,600,1550,2150,s,1200,5301,6501,
v,600,1550,2150,s,1200,5301,6501,
v,600,1555,2155,s,1200,5370,6570,
v,600,1557,2157,s,1200,5381,6581,
v,600,1593,2193,s,1200,5371,6571,
v,600,1588,2188,s,1200,5374,6574,
v,600,1580,2180,s,1200,5372,6572,
v,600,1571,2171,s,1200,5364,6564,
v,600,1551,2151,s,1200,5369,6569,
v,600,1554,2154,s,1200,5359,6559,
v,600,1567,2167,s,1200,5360,6560,
