VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,901,3811,4712,s,1359,2685,4044,
v,901,3779,4680,s,1364,2676,4040,
v,901,3777,4678,s,1366,2679,4045,
v,899,3780,4679,s,1361,2683,4044,
v,913,3851,4764,s,1365,2676,4041,
v,904,3793,4697,s,1365,2683,4048,
v,908,3789,4697,s,1368,2689,4057,
v,906,3787,4693,s,1372,2677,4049,
v,900,3781,4681,s,1363,2685,4048,
v,900,3784,4684,s,1362,2682,4044,
v,903,3782,4685,s,1380,2699,4079,
v,899,3778,4677,s,1365,2681,4046,
v,903,3786,4689,s,1362,2665,4027,
v,898,3770,4668,s,1440,2713,4153,
v,942,3923,4865,s,1368,2677,4045,
v,898,3791,4689,s,1364,2677,4041,
v,912,3847,4759,s,1388,2704,4092,
v,902,3790,4692,s,1364,2672,4036,
v,927,3833,4760,s,1364,2670,4034,
v,900,3781,4681,s,1357,2670,4027,
v,900,3790,4690,s,1363,2668,4031,
v,900,3765,4665,s,1364,2676,4040,
v,908,3830,4738,s,1357,2680,4037,
v,893,3764,4657,s,1375,2694,4069,
v,919,3850,4769,s,1363,2679,4042,
v,902,3786,4688,s,1365,2691,4056,
v,894,3772,4666,s,1367,2714,4081,
v,904,3794,4698,s,1364,2674,4038,
v,898,3776,4674,s,1367,2681,4048,
v,896,3790,4686,s,1360,2677,4037,
v,903,3791,4694,s,1371,2696,4067,
v,902,3782,4684,s,1362,2682,4044,
v,900,3778,4678,s,1367,2695,4062,
v,901,3794,4695,s,1361,2688,4049,
v,917,3838,4755,s,1363,2672,4035,
v,900,3785,4685,s,1361,2687,4048,
v,903,3796,4699,s,1372,2702,4074,
v,903,3799,4702,s,1366,2680,4046,
v,900,3786,4686,s,1363,2685,4048,
v,906,3793,4699,s,1362,2694,4056,
v,897,3777,4674,s,1355,2674,4029,
v,895,3775,4670,s,1360,2664,4024,
v,897,3773,4670,s,1366,2691,4057,
v,903,3800,4703,s,1370,2687,4057,
v,916,3845,4761,s,1362,2672,4034,
v,898,3794,4692,s,1358,2669,4027,
v,905,3787,4692,s,1368,2669,4037,
v,902,3777,4679,s,1378,2701,4079,
v,897,3794,4691,s,1360,2680,4040,
v,904,3804,4708,s,1367,2682,4049,
v,897,3782,4679,s,1361,2673,4034,
v,900,3784,4684,s,1365,2676,4041,
v,900,3801,4701,s,1365,2702,4067,
v,900,3779,4679,s,1361,2668,4029,
v,904,3806,4710,s,1365,2688,4053,
v,897,3783,4680,s,1365,2677,4042,
v,903,3786,4689,s,1366,2678,4044,
v,910,3825,4735,s,1360,2672,4032,
v,898,3756,4654,s,1362,2668,4030,
v,904,3780,4684,s,1360,2672,4032,
v,897,3768,4665,s,1365,2666,4031,
v,898,3759,4657,s,1368,2666,4034,
v,894,3758,4652,s,1361,2685,4046,
v,900,3778,4678,s,1360,2667,4027,
v,891,3769,4660,s,1363,2671,4034,
v,899,3773,4672,s,1367,2672,4039,
v,895,3769,4664,s,1362,2679,4041,
v,899,3795,4694,s,1362,2674,4036,
v,899,3774,4673,s,1368,2686,4054,
v,900,3792,4692,s,1372,2696,4068,
v,908,3779,4687,s,1362,2677,4039,
v,898,3773,4671,s,1371,2677,4048,
v,902,3778,4680,s,1361,2681,4042,
v,902,3787,4689,s,1364,2674,4038,
v,896,3773,4669,s,1361,2674,4035,
v,901,3786,4687,s,1364,2681,4045,
v,900,3780,4680,s,1364,2690,4054,
v,900,3770,4670,s,1360,2686,4046,
v,896,3790,4686,s,1366,2676,4042,
v,902,3788,4690,s,1367,2684,4051,
v,898,3766,4664,s,1360,2666,4026,
v,903,3787,4690,s,1370,2685,4055,
v,898,3794,4692,s,1362,2687,4049,
v,902,3786,4688,s,1369,2675,4044,
v,906,3784,4690,s,1359,2670,4029,
v,905,3814,4719,s,1392,2709,4101,
v,902,3799,4701,s,1370,2676,4046,
v,897,3790,4687,s,1360,2676,4036,
v,905,3784,4689,s,1366,2687,4053,
v,911,3850,4761,s,1370,2673,4043,
v,901,3776,4677,s,1366,2681,4047,
v,901,3789,4690,s,1366,2680,4046,
v,903,3789,4692,s,1368,2677,4045,
v,904,3787,4691,s,1366,2707,4073,
v,900,3780,4680,s,1365,2674,4039,
v,904,3792,4696,s,1359,2674,4033,
v,894,3786,4680,s,1359,2669,4028,
v,902,3781,4683,s,1355,2661,4016,
v,900,3785,4685,s,1355,2666,4021,
v,899,3771,4670,s,1360,2676,4036,
