VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,981,7227,8208,s,1991,9608,11599,
v,995,7291,8286,s,1898,9181,11079,
v,982,7168,8150,s,1993,9506,11499,
v,1068,7802,8870,s,1970,9662,11632,
v,987,7316,8303,s,1960,9499,11459,
v,980,7204,8184,s,1946,9600,11546,
v,953,6943,7896,s,1870,9020,10890,
v,957,6945,7902,s,1865,9070,10935,
v,954,6938,7892,s,1864,9061,10925,
v,976,7198,8174,s,1967,9470,11437,
v,967,6990,7957,s,1873,9044,10917,
v,951,6957,7908,s,1865,9018,10883,
v,951,6927,7878,s,1876,9041,10917,
v,953,6977,7930,s,1872,9088,10960,
v,949,6926,7875,s,1855,9053,10908,
v,947,6950,7897,s,1869,9070,10939,
v,956,7008,7964,s,1868,9063,10931,
v,949,6946,7895,s,1865,9031,10896,
v,950,6944,7894,s,1874,9037,10911,
v,949,6950,7899,s,1869,9009,10878,
v,951,6964,7915,s,1856,9010,10866,
v,946,6964,7910,s,1866,9039,10905,
v,960,7072,8032,s,1864,9050,10914,
v,951,6945,7896,s,1862,9044,10906,
v,960,7033,7993,s,1866,9046,10912,
v,941,6923,7864,s,1877,9022,10899,
v,946,6921,7867,s,1857,8999,10856,
v,947,6938,7885,s,1933,9170,11103,
v,949,6922,7871,s,1863,8964,10827,
v,943,6865,7808,s,1867,9004,10871,
v,948,6889,7837,s,1844,8982,10826,
v,966,6989,7955,s,1898,9152,11050,
v,944,6902,7846,s,1872,9030,10902,
v,946,6881,7827,s,1859,9016,10875,
v,944,6927,7871,s,1862,9016,10878,
v,942,6894,7836,s,1842,8987,10829,
v,948,6884,7832,s,1846,8999,10845,
v,942,6940,7882,s,1871,9132,11003,
v,972,7085,8057,s,1862,9003,10865,
v,944,6916,7860,s,1867,9050,10917,
v,947,6919,7866,s,1865,9022,10887,
v,946,6918,7864,s,1881,9195,11076,
v,943,6895,7838,s,1871,8999,10870,
v,941,6899,7840,s,1863,8997,10860,
v,1048,7774,8822,s,1858,9044,10902,
v,950,6932,7882,s,1851,8983,10834,
v,935,6875,7810,s,1856,9007,10863,
v,944,6904,7848,s,1845,8943,10788,
v,943,6900,7843,s,1858,9024,10882,
v,942,6880,7822,s,1857,8994,10851,
v,949,6943,7892,s,1857,9005,10862,
v,942,6881,7823,s,1853,9027,10880,
v,940,6893,7833,s,1919,9069,10988,
v,952,6966,7918,s,1853,8984,10837,
v,946,6900,7846,s,1869,9000,10869,
v,940,6905,7845,s,1859,9021,10880,
v,949,7021,7970,s,1859,8969,10828,
v,941,6885,7826,s,1858,9061,10919,
v,955,6927,7882,s,1973,9601,11574,
v,1109,8609,9718,s,1880,9082,10962,
v,947,6941,7888,s,1874,9127,11001,
v,950,6991,7941,s,1869,9028,10897,
v,962,6981,7943,s,1866,9008,10874,
v,958,6979,7937,s,1862,9096,10958,
v,951,6960,7911,s,1868,9021,10889,
v,945,6908,7853,s,1860,8993,10853,
v,939,6903,7842,s,1860,9093,10953,
v,950,6905,7855,s,1861,8982,10843,
v,943,6928,7871,s,1863,9004,10867,
v,951,6920,7871,s,1858,9026,10884,
v,951,6924,7875,s,1863,9002,10865,
v,949,6951,7900,s,1863,9002,10865,
v,952,6911,7863,s,1863,9067,10930,
v,952,6913,7865,s,1863,8999,10862,
v,946,6911,7857,s,1855,9011,10866,
v,949,6881,7830,s,1853,8952,10805,
v,944,6910,7854,s,1857,8974,10831,
v,951,6893,7844,s,1846,8972,10818,
v,951,6928,7879,s,1897,9047,10944,
v,951,6908,7859,s,1864,8935,10799,
v,940,6904,7844,s,1860,8973,10833,
v,991,7262,8253,s,1867,9055,10922,
v,948,6976,7924,s,1863,9070,10933,
v,950,6941,7891,s,1845,8975,10820,
v,962,6961,7923,s,1855,8950,10805,
v,952,6977,7929,s,1872,9039,10911,
v,948,6939,7887,s,1863,9027,10890,
v,948,6922,7870,s,1879,9075,10954,
v,949,6930,7879,s,1858,9002,10860,
v,944,6886,7830,s,1856,8985,10841,
v,948,6927,7875,s,1853,8960,10813,
v,944,6893,7837,s,1857,8984,10841,
v,959,6890,7849,s,1852,8954,10806,
v,938,6893,7831,s,1902,9105,11007,
v,940,6874,7814,s,1860,8996,10856,
v,948,6895,7843,s,1849,8971,10820,
v,967,6950,7917,s,1867,8971,10838,
v,936,6864,7800,s,1854,8939,10793,
v,939,6875,7814,s,1845,8963,10808,
v,939,6861,7800,s,1854,8934,10788,
