VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,938,4337,5275,s,1822,7080,8902,
v,927,4320,5247,s,1828,7099,8927,
v,929,4286,5215,s,1821,7062,8883,
v,926,4301,5227,s,1827,7063,8890,
v,927,4292,5219,s,1834,7092,8926,
v,968,4383,5351,s,1829,7066,8895,
v,932,4367,5299,s,1826,7089,8915,
v,927,4290,5217,s,1858,7222,9080,
v,926,4288,5214,s,1827,7098,8925,
v,924,4302,5226,s,1825,7082,8907,
v,918,4272,5190,s,1817,7076,8893,
v,936,4303,5239,s,1830,7078,8908,
v,935,4272,5207,s,1824,7051,8875,
v,932,4292,5224,s,1832,7100,8932,
v,978,4481,5459,s,1818,7077,8895,
v,954,4458,5412,s,1833,7096,8929,
v,921,4306,5227,s,1815,7068,8883,
v,923,4296,5219,s,1817,7100,8917,
v,923,4279,5202,s,1821,7081,8902,
v,924,4305,5229,s,1815,7069,8884,
v,927,4312,5239,s,1817,7044,8861,
v,925,4285,5210,s,1827,7060,8887,
v,938,4293,5231,s,1816,7052,8868,
v,930,4295,5225,s,1823,7077,8900,
v,918,4321,5239,s,1819,7079,8898,
v,918,4299,5217,s,1826,7089,8915,
v,922,4292,5214,s,1818,7091,8909,
v,923,4295,5218,s,1818,7069,8887,
v,923,4296,5219,s,1822,7088,8910,
v,931,4282,5213,s,1812,7092,8904,
v,929,4284,5213,s,1849,7088,8937,
v,932,4302,5234,s,1821,7063,8884,
v,926,4291,5217,s,1819,7066,8885,
v,934,4303,5237,s,1822,7094,8916,
v,935,4297,5232,s,1821,7073,8894,
v,945,4373,5318,s,1825,7116,8941,
v,957,4347,5304,s,1815,7085,8900,
v,916,4283,5199,s,1812,7059,8871,
v,939,4301,5240,s,1821,7087,8908,
v,927,4289,5216,s,1828,7073,8901,
v,925,4301,5226,s,1820,7070,8890,
v,928,4287,5215,s,1816,7068,8884,
v,940,4374,5314,s,1860,7162,9022,
v,967,4431,5398,s,1820,7063,8883,
v,948,4324,5272,s,1818,7050,8868,
v,927,4301,5228,s,1814,7038,8852,
v,927,4299,5226,s,1832,7102,8934,
v,919,4295,5214,s,1825,7084,8909,
v,922,4311,5233,s,1832,7090,8922,
v,919,4300,5219,s,1821,7078,8899,
v,920,4301,5221,s,1821,7072,8893,
v,924,4293,5217,s,1829,7104,8933,
v,928,4299,5227,s,1825,7075,8900,
v,922,4303,5225,s,1822,7081,8903,
v,925,4293,5218,s,1832,7112,8944,
v,990,4520,5510,s,1833,7073,8906,
v,925,4310,5235,s,1824,7087,8911,
v,932,4305,5237,s,1824,7064,8888,
v,922,4291,5213,s,1819,7093,8912,
v,922,4306,5228,s,1822,7055,8877,
v,923,4287,5210,s,1820,7100,8920,
v,927,4300,5227,s,1820,7091,8911,
v,927,4308,5235,s,1819,7081,8900,
v,931,4291,5222,s,1814,7089,8903,
v,937,4284,5221,s,1837,7084,8921,
v,935,4321,5256,s,1817,7062,8879,
v,947,4314,5261,s,1826,7065,8891,
v,930,4276,5206,s,1821,7044,8865,
v,913,4287,5200,s,1888,7139,9027,
v,922,4279,5201,s,1817,7066,8883,
v,929,4313,5242,s,1830,7087,8917,
v,953,4374,5327,s,2056,7951,10007,
v,1017,4658,5675,s,1839,7145,8984,
v,930,4319,5249,s,1829,7117,8946,
v,936,4297,5233,s,1821,7091,8912,
v,920,4301,5221,s,1863,7213,9076,
v,927,4297,5224,s,1829,7089,8918,
v,929,4300,5229,s,1833,7098,8931,
v,927,4292,5219,s,1820,7095,8915,
v,927,4322,5249,s,1816,7060,8876,
v,925,4310,5235,s,1824,7066,8890,
v,922,4299,5221,s,1826,7073,8899,
v,923,4288,5211,s,1814,7066,8880,
v,934,4303,5237,s,1843,7152,8995,
v,934,4319,5253,s,1830,7088,8918,
v,933,4299,5232,s,1821,7081,8902,
v,923,4299,5222,s,1822,7064,8886,
v,926,4288,5214,s,1827,7077,8904,
v,925,4316,5241,s,1820,7077,8897,
v,935,4317,5252,s,1819,7073,8892,
v,923,4301,5224,s,1826,7087,8913,
v,926,4284,5210,s,1809,7038,8847,
v,927,4277,5204,s,1817,7020,8837,
v,925,4302,5227,s,1816,7055,8871,
v,937,4280,5217,s,1826,7047,8873,
v,928,4283,5211,s,1818,7052,8870,
v,918,4292,5210,s,1819,7050,8869,
v,962,4403,5365,s,1827,7097,8924,
v,930,4303,5233,s,1823,7107,8930,
v,926,4300,5226,s,1830,7063,8893,
