VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,601,7058,7659,s,4663,29446,34109,
v,601,7008,7609,s,4663,29403,34066,
v,600,7053,7653,s,4671,29460,34131,
v,600,7053,7653,s,4664,29470,34134,
v,600,7057,7657,s,4658,29473,34131,
v,600,7054,7654,s,4693,29460,34153,
v,601,7053,7654,s,4654,29416,34070,
v,601,7055,7656,s,4670,29468,34138,
v,600,7057,7657,s,4667,29456,34123,
v,600,7052,7652,s,4643,29248,33891,
v,600,6905,7505,s,4603,28913,33516,
v,600,6926,7526,s,4574,28948,33522,
v,600,6914,7514,s,4600,28906,33506,
v,600,6905,7505,s,4642,29346,33988,
v,600,7055,7655,s,4697,29471,34168,
v,600,7052,7652,s,4654,29492,34146,
v,600,7056,7656,s,4675,29464,34139,
v,600,7051,7651,s,4634,29196,33830,
v,600,6923,7523,s,4600,28929,33529,
v,600,6923,7523,s,4597,28928,33525,
v,600,6918,7518,s,4600,28917,33517,
v,600,6904,7504,s,4598,28910,33508,
v,600,6910,7510,s,4600,28909,33509,
v,600,6907,7507,s,4600,28918,33518,
v,600,6910,7510,s,4648,29303,33951,
v,600,7055,7655,s,4665,29463,34128,
v,600,7053,7653,s,4612,28960,33572,
v,600,6906,7506,s,4623,29135,33758,
v,600,7052,7652,s,4666,29465,34131,
v,600,7056,7656,s,4673,29459,34132,
v,600,7006,7606,s,4600,28919,33519,
v,600,6904,7504,s,4600,28906,33506,
v,600,6912,7512,s,4585,28952,33537,
v,600,6913,7513,s,4600,28924,33524,
v,600,6912,7512,s,4601,28933,33534,
v,600,6916,7516,s,4603,28918,33521,
v,600,6914,7514,s,4581,28945,33526,
v,600,6933,7533,s,4601,28943,33544,
v,600,6907,7507,s,4600,28924,33524,
v,600,6916,7516,s,4601,28926,33527,
v,600,6905,7505,s,4600,28913,33513,
v,601,6983,7584,s,4607,28958,33565,
v,600,6909,7509,s,4600,28912,33512,
v,600,6909,7509,s,4600,28918,33518,
v,600,6905,7505,s,4598,28926,33524,
v,600,6909,7509,s,4600,28917,33517,
v,600,6915,7515,s,4599,28933,33532,
v,600,6910,7510,s,4601,28922,33523,
v,600,6907,7507,s,4648,29378,34026,
v,600,7054,7654,s,4674,29464,34138,
