VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,1156,29823,30979,s,4566,32064,36630,
v,1096,29725,30821,s,4590,32173,36763,
v,1100,30162,31262,s,4558,32033,36591,
v,1096,29791,30887,s,4509,31686,36195,
v,1098,29700,30798,s,4528,31777,36305,
v,1097,30024,31121,s,4573,31919,36492,
v,1095,29787,30882,s,4555,31940,36495,
v,1086,29782,30868,s,4546,31846,36392,
v,1136,30848,31984,s,4546,31944,36490,
v,1093,29787,30880,s,4575,31872,36447,
v,1091,29690,30781,s,4558,31807,36365,
v,1102,30008,31110,s,4551,31891,36442,
v,1093,29754,30847,s,4536,31835,36371,
v,1093,29704,30797,s,4632,32565,37197,
v,1093,29768,30861,s,4539,31920,36459,
v,1099,29974,31073,s,4512,31836,36348,
v,1101,29743,30844,s,4532,31832,36364,
v,1093,29728,30821,s,4558,32079,36637,
v,1095,30127,31222,s,4520,31855,36375,
v,1080,29418,30498,s,4507,31840,36347,
v,1102,29551,30653,s,4514,31792,36306,
v,1079,29531,30610,s,4503,31559,36062,
v,1099,29721,30820,s,4520,31706,36226,
v,1082,29505,30587,s,4501,31651,36152,
v,1084,29681,30765,s,4492,31637,36129,
v,1088,29712,30800,s,4494,31687,36181,
v,1077,29440,30517,s,4498,31627,36125,
v,1077,29492,30569,s,4531,31749,36280,
v,1087,29543,30630,s,4499,31668,36167,
v,1079,29481,30560,s,4505,31747,36252,
v,1083,29426,30509,s,4550,31729,36279,
v,1084,29629,30713,s,4591,32291,36882,
v,1088,29765,30853,s,4490,31545,36035,
v,1082,29648,30730,s,4514,31872,36386,
v,1089,29578,30667,s,4637,33022,37659,
v,1096,29821,30917,s,4514,31599,36113,
v,1077,29512,30589,s,4516,31701,36217,
v,1078,29527,30605,s,4695,32954,37649,
v,1146,30164,31310,s,4557,32032,36589,
v,1088,29505,30593,s,4512,31774,36286,
v,1112,30326,31438,s,4555,32194,36749,
v,1120,30741,31861,s,4673,32658,37331,
v,1120,30661,31781,s,4715,33130,37845,
v,1124,28961,30085,s,4629,32556,37185,
v,1101,29997,31098,s,4950,34740,39690,
v,1175,30661,31836,s,4686,32964,37650,
v,1133,29272,30405,s,4836,34070,38906,
v,1192,30797,31989,s,4912,34836,39748,
v,1171,30456,31627,s,5148,36418,41566,
v,1117,29979,31096,s,4615,32315,36930,
