VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,1118,61436,62554,s,4059,47271,51330,
v,1130,61920,63050,s,4064,47279,51343,
v,1120,61651,62771,s,4112,47851,51963,
v,1119,60984,62103,s,4035,47206,51241,
v,1139,62003,63142,s,4095,47565,51660,
v,1120,61074,62194,s,4054,47066,51120,
v,1115,61057,62172,s,4054,47095,51149,
v,1129,61283,62412,s,4199,48080,52279,
v,1118,61014,62132,s,4044,47090,51134,
v,1124,61191,62315,s,4054,47164,51218,
v,1123,61129,62252,s,4043,47062,51105,
v,1127,61312,62439,s,4027,47019,51046,
v,1119,60921,62040,s,4040,47308,51348,
v,1120,61065,62185,s,4093,47935,52028,
v,1116,61095,62211,s,4069,47114,51183,
v,1116,61072,62188,s,4057,47037,51094,
v,1119,61022,62141,s,4044,47074,51118,
v,1119,61260,62379,s,4058,47092,51150,
v,1140,62192,63332,s,4050,47143,51193,
v,1122,61323,62445,s,4111,47431,51542,
v,1120,61150,62270,s,4093,47796,51889,
v,1111,60958,62069,s,4064,47092,51156,
v,1116,60876,61992,s,4044,47169,51213,
v,1113,61035,62148,s,4187,48584,52771,
v,1119,61080,62199,s,4070,47053,51123,
v,1146,62132,63278,s,4076,47170,51246,
v,1124,61421,62545,s,4080,47464,51544,
v,1115,60899,62014,s,4049,47084,51133,
v,1117,61262,62379,s,4082,47330,51412,
v,1112,60753,61865,s,4050,47235,51285,
v,1120,61359,62479,s,4059,47483,51542,
v,1114,61147,62261,s,4046,47484,51530,
v,1126,61070,62196,s,4190,49187,53377,
v,1144,62068,63212,s,4384,49259,53643,
v,1145,61871,63016,s,4075,47377,51452,
v,1133,61169,62302,s,4116,47653,51769,
v,1163,62237,63400,s,4097,47570,51667,
v,1117,61265,62382,s,4054,47120,51174,
v,1126,61282,62408,s,4127,47979,52106,
v,1195,62461,63656,s,4337,50123,54460,
v,1141,62463,63604,s,4081,47593,51674,
v,1135,62713,63848,s,4214,48467,52681,
v,1117,61450,62567,s,4247,48544,52791,
v,1122,61408,62530,s,4102,47469,51571,
v,1115,61164,62279,s,4067,47100,51167,
v,1119,61453,62572,s,4080,47265,51345,
v,1118,61514,62632,s,4073,47332,51405,
v,1143,62232,63375,s,4112,47292,51404,
v,1120,61244,62364,s,4100,47282,51382,
v,1118,61548,62666,s,4120,47792,51912,
