VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,506,2647,3153,s,1844,7100,8944,
v,502,2529,3031,s,1796,6966,8762,
v,504,2534,3038,s,1802,7025,8827,
v,503,2523,3026,s,1823,7035,8858,
v,512,2573,3085,s,1862,7181,9043,
v,522,2693,3215,s,2052,7989,10041,
v,519,2683,3202,s,1887,7303,9190,
v,505,2532,3037,s,1810,6995,8805,
v,505,2542,3047,s,1826,7105,8931,
v,499,2525,3024,s,1808,7095,8903,
v,501,2530,3031,s,1798,6973,8771,
v,502,2522,3024,s,1841,7119,8960,
v,500,2524,3024,s,1817,7045,8862,
v,501,2504,3005,s,1795,6975,8770,
v,541,2795,3336,s,1910,7320,9230,
v,506,2566,3072,s,1798,6935,8733,
v,504,2511,3015,s,1804,6978,8782,
v,521,2665,3186,s,1809,7000,8809,
v,508,2538,3046,s,1799,6984,8783,
v,498,2517,3015,s,1797,6975,8772,
v,500,2508,3008,s,1818,7023,8841,
v,502,2549,3051,s,1809,6999,8808,
v,509,2561,3070,s,1802,6968,8770,
v,503,2526,3029,s,1799,6990,8789,
v,504,2558,3062,s,1804,7016,8820,
v,501,2522,3023,s,1789,6955,8744,
v,501,2517,3018,s,1809,6989,8798,
v,518,2643,3161,s,1791,6967,8758,
v,503,2525,3028,s,1798,6989,8787,
v,500,2519,3019,s,1827,7077,8904,
v,501,2521,3022,s,1790,6983,8773,
v,500,2506,3006,s,1799,7009,8808,
v,501,2515,3016,s,1817,7056,8873,
v,535,2727,3262,s,1840,7064,8904,
v,505,2531,3036,s,1816,7028,8844,
v,500,2508,3008,s,1807,6982,8789,
v,499,2519,3018,s,1800,6977,8777,
v,504,2523,3027,s,1822,7113,8935,
v,503,2513,3016,s,1813,6998,8811,
v,501,2519,3020,s,1801,6970,8771,
v,502,2518,3020,s,1815,7055,8870,
v,519,2622,3141,s,1841,7154,8995,
v,503,2555,3058,s,1811,7029,8840,
v,505,2548,3053,s,1824,7062,8886,
v,504,2550,3054,s,1810,7000,8810,
v,500,2517,3017,s,1802,6965,8767,
v,500,2516,3016,s,1855,7221,9076,
v,516,2604,3120,s,1845,7163,9008,
v,503,2537,3040,s,1818,7060,8878,
v,500,2516,3016,s,1810,6977,8787,
