VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,500,1609,2109,s,1514,3219,4733,
v,500,1600,2100,s,1504,3200,4704,
v,500,1600,2100,s,1545,3244,4789,
v,500,1631,2131,s,1551,3254,4805,
v,500,1648,2148,s,1550,3251,4801,
v,500,1642,2142,s,1550,3251,4801,
v,500,1646,2146,s,1550,3251,4801,
v,500,1644,2144,s,1550,3251,4801,
v,500,1640,2140,s,1550,3250,4800,
v,500,1634,2134,s,1501,3200,4701,
v,500,1600,2100,s,1503,3202,4705,
v,500,1600,2100,s,1503,3201,4704,
v,500,1600,2100,s,1502,3200,4702,
v,500,1600,2100,s,1501,3200,4701,
v,500,1600,2100,s,1500,3200,4700,
v,500,1600,2100,s,1501,3200,4701,
v,500,1600,2100,s,1501,3200,4701,
v,500,1600,2100,s,1503,3200,4703,
v,500,1600,2100,s,1501,3202,4703,
v,500,1600,2100,s,1502,3201,4703,
v,500,1600,2100,s,1501,3200,4701,
v,500,1600,2100,s,1506,3202,4708,
v,500,1600,2100,s,1501,3201,4702,
v,500,1600,2100,s,1501,3200,4701,
v,500,1600,2100,s,1501,3200,4701,
v,500,1600,2100,s,1502,3200,4702,
v,500,1600,2100,s,1501,3202,4703,
v,500,1600,2100,s,1504,3201,4705,
v,500,1600,2100,s,1501,3200,4701,
v,500,1600,2100,s,1502,3200,4702,
v,500,1600,2100,s,1501,3200,4701,
v,500,1600,2100,s,1503,3200,4703,
v,500,1600,2100,s,1501,3200,4701,
v,500,1600,2100,s,1504,3200,4704,
v,500,1600,2100,s,1501,3203,4704,
v,500,1601,2101,s,1501,3202,4703,
v,500,1600,2100,s,1523,3232,4755,
v,500,1600,2100,s,1503,3200,4703,
v,500,1600,2100,s,1501,3200,4701,
v,500,1600,2100,s,1504,3200,4704,
v,500,1600,2100,s,1503,3200,4703,
v,500,1600,2100,s,1502,3200,4702,
v,500,1600,2100,s,1502,3202,4704,
v,500,1603,2103,s,1504,3202,4706,
v,500,1600,2100,s,1501,3200,4701,
v,500,1600,2100,s,1502,3200,4702,
v,500,1600,2100,s,1501,3200,4701,
v,500,1600,2100,s,1501,3200,4701,
v,500,1600,2100,s,1502,3200,4702,
v,500,1600,2100,s,1501,3200,4701,
