VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,751,25102,25853,s,5195,39249,44444,
v,751,25117,25868,s,5184,39246,44430,
v,750,25126,25876,s,5200,39279,44479,
v,750,25124,25874,s,5202,39259,44461,
v,750,25092,25842,s,5196,39277,44473,
v,751,25134,25885,s,5192,39283,44475,
v,750,25125,25875,s,5205,39264,44469,
v,751,25128,25879,s,5201,39267,44468,
v,750,25128,25878,s,5202,39261,44463,
v,750,25129,25879,s,5200,39261,44461,
v,751,25116,25867,s,5200,39259,44459,
v,752,25137,25889,s,5203,39256,44459,
v,750,25110,25860,s,5200,39263,44463,
v,751,25111,25862,s,5200,39260,44460,
v,750,25122,25872,s,5201,39264,44465,
v,752,25117,25869,s,5200,39264,44464,
v,750,25129,25879,s,5201,39262,44463,
v,751,25126,25877,s,5205,39276,44481,
v,750,25188,25938,s,5201,39305,44506,
v,750,25117,25867,s,5138,39016,44154,
v,750,25116,25866,s,5187,39193,44380,
v,751,25124,25875,s,5168,39106,44274,
v,751,25094,25845,s,5170,39145,44315,
v,750,25145,25895,s,5192,39234,44426,
v,750,25124,25874,s,5194,39228,44422,
v,750,25127,25877,s,5195,39234,44429,
v,750,25128,25878,s,5188,39233,44421,
v,750,25119,25869,s,5186,39215,44401,
v,750,25138,25888,s,5203,39283,44486,
v,750,25139,25889,s,5197,39260,44457,
v,750,25125,25875,s,5190,39251,44441,
v,750,25117,25867,s,5200,39259,44459,
v,751,25052,25803,s,5102,38807,43909,
v,750,24991,25741,s,5107,38848,43955,
v,750,24946,25696,s,5106,38737,43843,
v,750,25014,25764,s,5108,38643,43751,
v,750,25040,25790,s,5101,38619,43720,
v,750,24980,25730,s,5200,39261,44461,
v,750,25121,25871,s,5191,39312,44503,
v,750,25244,25994,s,5206,39368,44574,
v,750,25126,25876,s,5200,39255,44455,
v,750,25137,25887,s,5126,38957,44083,
v,750,25084,25834,s,5116,38909,44025,
v,750,25074,25824,s,5173,39163,44336,
v,750,25123,25873,s,5161,39138,44299,
v,751,25120,25871,s,5200,39292,44492,
v,751,25280,26031,s,5214,39523,44737,
v,752,25282,26034,s,5208,39399,44607,
v,751,25141,25892,s,5201,39347,44548,
v,751,25158,25909,s,5202,39283,44485,
