VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,900,50079,50979,s,4607,58018,62625,
v,900,50905,51805,s,4621,58137,62758,
v,901,50836,51737,s,4615,57941,62556,
v,901,50921,51822,s,4677,58636,63313,
v,900,50694,51594,s,4616,58093,62709,
v,900,50630,51530,s,4650,58532,63182,
v,900,50585,51485,s,4653,58398,63051,
v,900,50433,51333,s,4640,58526,63166,
v,901,50928,51829,s,4678,58878,63556,
v,900,50981,51881,s,4675,58846,63521,
v,901,50940,51841,s,4678,58862,63540,
v,900,50476,51376,s,4600,57761,62361,
v,902,49999,50901,s,4597,57765,62362,
v,900,50017,50917,s,4589,57847,62436,
v,901,50030,50931,s,4598,57783,62381,
v,900,50102,51002,s,4693,58863,63556,
v,900,50956,51856,s,4677,58853,63530,
v,900,50768,51668,s,4602,57776,62378,
v,900,50625,51525,s,4672,58864,63536,
v,901,50949,51850,s,4673,58872,63545,
v,901,50992,51893,s,4663,58539,63202,
v,900,50792,51692,s,4662,58663,63325,
v,900,50669,51569,s,4635,58452,63087,
v,901,50773,51674,s,4646,58321,62967,
v,901,50785,51686,s,4649,58623,63272,
v,900,50737,51637,s,4656,58685,63341,
v,900,50915,51815,s,4644,58446,63090,
v,900,50836,51736,s,4658,58628,63286,
v,900,50865,51765,s,4644,58467,63111,
v,901,50953,51854,s,4690,58878,63568,
v,900,50945,51845,s,4682,58875,63557,
v,900,50991,51891,s,4677,58714,63391,
v,900,50230,51130,s,4603,57790,62393,
v,900,50899,51799,s,4613,57911,62524,
v,900,50962,51862,s,4682,58859,63541,
v,900,50959,51859,s,4680,58864,63544,
v,900,51017,51917,s,4699,58860,63559,
v,902,50985,51887,s,4657,58777,63434,
v,900,50931,51831,s,4683,58865,63548,
v,902,50973,51875,s,4674,58864,63538,
v,900,50958,51858,s,4688,58880,63568,
v,900,50968,51868,s,4686,58861,63547,
v,900,50965,51865,s,4681,58860,63541,
v,901,50950,51851,s,4686,58869,63555,
v,901,50957,51858,s,4608,58216,62824,
v,900,50658,51558,s,4602,58158,62760,
v,901,50736,51637,s,4654,58906,63560,
v,900,50924,51824,s,4677,58868,63545,
v,901,50933,51834,s,4652,58777,63429,
v,901,50930,51831,s,4630,58320,62950,
