VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,500,1407,1907,s,2046,8613,10659,
v,500,1400,1900,s,2046,8562,10608,
v,500,1400,1900,s,2036,8569,10605,
v,500,1401,1901,s,2053,8595,10648,
v,500,1403,1903,s,2052,8700,10752,
v,500,1401,1901,s,2053,8702,10755,
v,500,1401,1901,s,2042,8559,10601,
v,500,1400,1900,s,2043,8557,10600,
v,500,1400,1900,s,2041,8551,10592,
v,500,1400,1900,s,2041,8553,10594,
v,500,1400,1900,s,2051,8703,10754,
v,500,1401,1901,s,2052,8703,10755,
v,500,1402,1902,s,2052,8703,10755,
v,500,1402,1902,s,2052,8704,10756,
v,500,1402,1902,s,2051,8705,10756,
v,500,1401,1901,s,2052,8702,10754,
v,500,1401,1901,s,2053,8706,10759,
v,500,1401,1901,s,2053,8703,10756,
v,500,1400,1900,s,2053,8700,10753,
v,500,1401,1901,s,2054,8703,10757,
v,500,1400,1900,s,2052,8707,10759,
v,500,1401,1901,s,2054,8702,10756,
v,500,1400,1900,s,2052,8704,10756,
v,500,1402,1902,s,2053,8702,10755,
v,500,1400,1900,s,2052,8701,10753,
v,500,1401,1901,s,2051,8706,10757,
v,500,1401,1901,s,2051,8708,10759,
v,500,1400,1900,s,2054,8701,10755,
v,500,1401,1901,s,2057,8720,10777,
v,500,1400,1900,s,2044,8552,10596,
v,500,1400,1900,s,2042,8551,10593,
v,500,1400,1900,s,2044,8552,10596,
v,500,1400,1900,s,2038,8549,10587,
v,500,1400,1900,s,2046,8549,10595,
v,500,1400,1900,s,2049,8649,10698,
v,500,1400,1900,s,2057,8703,10760,
v,502,1401,1903,s,2051,8702,10753,
v,500,1401,1901,s,2054,8701,10755,
v,500,1400,1900,s,2052,8704,10756,
v,500,1402,1902,s,2051,8702,10753,
v,500,1400,1900,s,2050,8706,10756,
v,500,1400,1900,s,2050,8701,10751,
v,500,1401,1901,s,2051,8705,10756,
v,500,1401,1901,s,2054,8704,10758,
v,500,1400,1900,s,2051,8701,10752,
v,500,1400,1900,s,2051,8703,10754,
v,500,1400,1900,s,2051,8701,10752,
v,500,1401,1901,s,2034,8606,10640,
v,500,1400,1900,s,2041,8550,10591,
v,500,1400,1900,s,2039,8551,10590,
