VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,1301,9119,10420,s,3095,19656,22751,
v,1303,9213,10516,s,3100,19662,22762,
v,1301,9211,10512,s,3100,19705,22805,
v,1302,9217,10519,s,3100,19705,22805,
v,1301,9210,10511,s,3100,19707,22807,
v,1303,9211,10514,s,3103,19702,22805,
v,1301,9210,10511,s,3101,19707,22808,
v,1301,9212,10513,s,3101,19702,22803,
v,1301,9213,10514,s,3101,19710,22811,
v,1301,9210,10511,s,3103,19703,22806,
v,1304,9214,10518,s,3079,19657,22736,
v,1300,9191,10491,s,3078,19604,22682,
v,1301,9190,10491,s,3089,19627,22716,
v,1300,9183,10483,s,3074,19621,22695,
v,1300,9182,10482,s,3071,19613,22684,
v,1301,9199,10500,s,3054,19388,22442,
v,1300,9053,10353,s,3050,19351,22401,
v,1300,9054,10354,s,3051,19308,22359,
v,1300,9055,10355,s,3050,19353,22403,
v,1300,9054,10354,s,3090,19630,22720,
v,1302,9213,10515,s,3102,19712,22814,
v,1301,9213,10514,s,3103,19702,22805,
v,1302,9214,10516,s,3081,19557,22638,
v,1300,9055,10355,s,3050,19348,22398,
v,1300,9054,10354,s,3050,19361,22411,
v,1300,9056,10356,s,3052,19345,22397,
v,1300,9057,10357,s,3052,19372,22424,
v,1300,9142,10442,s,3101,19703,22804,
v,1301,9216,10517,s,3105,19704,22809,
v,1302,9178,10480,s,3054,19356,22410,
v,1301,9055,10356,s,3050,19351,22401,
v,1300,9055,10355,s,3050,19352,22402,
v,1300,9061,10361,s,3050,19352,22402,
v,1300,9060,10360,s,3102,19673,22775,
v,1302,9211,10513,s,3101,19706,22807,
v,1302,9213,10515,s,3100,19706,22806,
v,1301,9208,10509,s,3102,19707,22809,
v,1303,9215,10518,s,3102,19700,22802,
v,1300,9213,10513,s,3101,19709,22810,
v,1302,9211,10513,s,3101,19703,22804,
v,1302,9209,10511,s,3056,19394,22450,
v,1300,9051,10351,s,3050,19346,22396,
v,1301,9086,10387,s,3102,19704,22806,
v,1301,9181,10482,s,3050,19346,22396,
v,1300,9055,10355,s,3052,19368,22420,
v,1300,9056,10356,s,3050,19355,22405,
v,1300,9065,10365,s,3050,19356,22406,
v,1300,9056,10356,s,3050,19355,22405,
v,1300,9057,10357,s,3050,19355,22405,
v,1300,9058,10358,s,3050,19310,22360,
