VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,922,59899,60821,s,4080,47104,51184,
v,916,59363,60279,s,4257,48862,53119,
v,951,59506,60457,s,4145,47597,51742,
v,929,59930,60859,s,4168,47393,51561,
v,922,59777,60699,s,4153,47417,51570,
v,916,59527,60443,s,4112,47362,51474,
v,917,59751,60668,s,4101,47277,51378,
v,959,61090,62049,s,4109,47928,52037,
v,919,59740,60659,s,4100,47220,51320,
v,926,59622,60548,s,4105,47212,51317,
v,919,59577,60496,s,4127,47626,51753,
v,919,59626,60545,s,4094,47226,51320,
v,919,59683,60602,s,4117,47692,51809,
v,919,60025,60944,s,4395,49050,53445,
v,1104,60578,61682,s,4185,48477,52662,
v,926,59756,60682,s,4098,47787,51885,
v,917,59621,60538,s,4167,47868,52035,
v,922,59559,60481,s,4166,47753,51919,
v,918,59603,60521,s,4087,47258,51345,
v,919,59471,60390,s,4080,47161,51241,
v,917,59593,60510,s,4103,47137,51240,
v,912,59328,60240,s,4084,47178,51262,
v,922,59901,60823,s,4109,47195,51304,
v,919,60159,61078,s,4081,47140,51221,
v,915,59607,60522,s,4098,47069,51167,
v,915,59610,60525,s,4087,47162,51249,
v,908,59404,60312,s,4104,47258,51362,
v,914,59385,60299,s,4174,47712,51886,
v,922,59800,60722,s,4108,47260,51368,
v,912,59335,60247,s,4080,47185,51265,
v,909,59392,60301,s,4210,48258,52468,
v,924,59521,60445,s,4094,47092,51186,
v,925,59624,60549,s,4071,47105,51176,
v,922,59534,60456,s,4083,47267,51350,
v,915,60068,60983,s,4096,47203,51299,
v,911,59346,60257,s,4083,47148,51231,
v,918,59354,60272,s,4069,47096,51165,
v,917,59314,60231,s,4284,47870,52154,
v,938,59873,60811,s,4094,47348,51442,
v,912,59686,60598,s,4087,47133,51220,
v,912,59388,60300,s,4083,47119,51202,
v,924,59429,60353,s,4085,47230,51315,
v,921,59365,60286,s,4089,47368,51457,
v,912,59410,60322,s,4063,47114,51177,
v,919,59377,60296,s,4056,47084,51140,
v,916,59923,60839,s,4311,50895,55206,
v,929,59987,60916,s,4193,48101,52294,
v,922,59802,60724,s,4092,47191,51283,
v,916,59669,60585,s,4073,47029,51102,
v,919,59875,60794,s,4098,47361,51459,
