VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,1209,14210,15419,s,2751,16279,19030,
v,1201,14044,15245,s,2736,16308,19044,
v,1193,14020,15213,s,2745,16241,18986,
v,1199,14067,15266,s,2746,16268,19014,
v,1207,14070,15277,s,2775,16529,19304,
v,1205,14077,15282,s,2733,16238,18971,
v,1201,14078,15279,s,2747,16300,19047,
v,1217,14133,15350,s,2740,16278,19018,
v,1196,13999,15195,s,2750,16231,18981,
v,1239,14248,15487,s,2897,17150,20047,
v,1222,14327,15549,s,2759,16332,19091,
v,1209,14208,15417,s,2804,16503,19307,
v,1214,14174,15388,s,2761,16325,19086,
v,1229,14400,15629,s,2792,16484,19276,
v,1237,14392,15629,s,2764,16346,19110,
v,1205,14109,15314,s,2768,16415,19183,
v,1213,14127,15340,s,2789,16450,19239,
v,1211,14150,15361,s,2943,17062,20005,
v,1211,14178,15389,s,2816,16857,19673,
v,1208,14152,15360,s,2754,16438,19192,
v,1228,14344,15572,s,2778,16371,19149,
v,1205,14087,15292,s,2766,16309,19075,
v,1213,14127,15340,s,2752,16270,19022,
v,1209,14124,15333,s,2754,16311,19065,
v,1217,14177,15394,s,2776,16348,19124,
v,1214,14115,15329,s,2777,16376,19153,
v,1241,14408,15649,s,2761,16368,19129,
v,1212,14059,15271,s,2787,16424,19211,
v,1207,14125,15332,s,2760,16269,19029,
v,1206,14113,15319,s,2770,16358,19128,
v,1210,14056,15266,s,2755,16271,19026,
v,1208,14184,15392,s,2755,16332,19087,
v,1202,14091,15293,s,2772,16334,19106,
v,1204,14132,15336,s,2771,16299,19070,
v,1209,14086,15295,s,2771,16312,19083,
v,1211,14124,15335,s,2769,16385,19154,
v,1202,14160,15362,s,2753,16261,19014,
v,1249,14417,15666,s,2912,16935,19847,
v,1209,14076,15285,s,2759,16374,19133,
v,1215,14090,15305,s,2912,16788,19700,
v,1214,14071,15285,s,2755,16256,19011,
v,1212,14079,15291,s,2766,16360,19126,
v,1215,14088,15303,s,2771,16350,19121,
v,1212,14083,15295,s,2763,16354,19117,
v,1210,14067,15277,s,2807,16613,19420,
v,1199,13986,15185,s,2738,16319,19057,
v,1196,14024,15220,s,2736,16247,18983,
v,1202,14102,15304,s,2736,16206,18942,
v,1204,14240,15444,s,2730,16249,18979,
v,1200,13990,15190,s,2722,16204,18926,
