VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,1556,11941,13497,s,14487,54977,69464,
v,1553,11879,13432,s,14371,54360,68731,
v,1569,11995,13564,s,14375,54561,68936,
v,1564,11916,13480,s,14412,54482,68894,
v,1561,11976,13537,s,14397,54622,69019,
v,1576,12003,13579,s,14415,54373,68788,
v,1566,12004,13570,s,14391,54608,68999,
v,1576,12253,13829,s,14457,54592,69049,
v,1559,11909,13468,s,14370,54503,68873,
v,1668,12776,14444,s,14486,54873,69359,
v,1557,11951,13508,s,14397,54706,69103,
v,1565,12042,13607,s,14398,54650,69048,
v,1552,11934,13486,s,14448,54599,69047,
v,1564,11968,13532,s,14538,54527,69065,
v,1569,12035,13604,s,14476,54933,69409,
v,1569,12004,13573,s,14422,54456,68878,
v,1552,11919,13471,s,14539,54710,69249,
v,1553,11949,13502,s,14517,54623,69140,
v,1565,11938,13503,s,14426,54591,69017,
v,1558,11929,13487,s,14369,54466,68835,
v,1567,12031,13598,s,14465,54535,69000,
v,1551,11971,13522,s,14480,54767,69247,
v,1548,11939,13487,s,14435,54511,68946,
v,1576,12058,13634,s,14379,54366,68745,
v,1550,11907,13457,s,14398,54524,68922,
v,1570,11997,13567,s,14426,54439,68865,
v,1553,11953,13506,s,14487,54868,69355,
v,1557,11892,13449,s,14445,54394,68839,
v,1567,12031,13598,s,14436,54572,69008,
v,1561,11937,13498,s,14394,54437,68831,
v,1558,11994,13552,s,14471,55480,69951,
v,1551,11907,13458,s,14403,54430,68833,
v,1557,11965,13522,s,14499,54541,69040,
v,1553,11899,13452,s,14465,54475,68940,
v,1553,11915,13468,s,14386,54572,68958,
v,1568,12006,13574,s,14444,54469,68913,
v,1555,11990,13545,s,14407,54539,68946,
v,1564,12078,13642,s,14496,54409,68905,
v,1563,11914,13477,s,14438,54894,69332,
v,1562,12051,13613,s,14429,54440,68869,
v,1554,11891,13445,s,14440,54592,69032,
v,1571,12013,13584,s,14393,54528,68921,
v,1556,11886,13442,s,14421,54622,69043,
v,1557,11893,13450,s,14489,54685,69174,
v,1555,11887,13442,s,14377,54558,68935,
v,1569,11972,13541,s,14495,54407,68902,
v,1561,11905,13466,s,14434,54618,69052,
v,1557,11975,13532,s,14392,54429,68821,
v,1555,11913,13468,s,14397,54537,68934,
v,1559,11956,13515,s,14407,54452,68859,
v,1590,13216,14806,s,14624,54964,69588,
v,1598,13268,14866,s,14662,54866,69528,
v,1585,13172,14757,s,14873,55622,70495,
v,1600,13223,14823,s,14659,54865,69524,
v,1597,13140,14737,s,14729,55269,69998,
v,1594,13291,14885,s,14695,54959,69654,
v,1589,13130,14719,s,14621,55087,69708,
v,1583,13168,14751,s,14709,54848,69557,
v,1609,13271,14880,s,14605,54647,69252,
v,1583,13199,14782,s,14726,55126,69852,
v,1587,13172,14759,s,14628,54937,69565,
v,1607,13409,15016,s,14658,54878,69536,
v,1601,13292,14893,s,14641,54800,69441,
v,1589,13148,14737,s,14639,54975,69614,
v,1600,13242,14842,s,14764,54884,69648,
v,1588,13149,14737,s,14626,54899,69525,
v,1598,13266,14864,s,14654,54832,69486,
v,1584,13134,14718,s,14650,54850,69500,
v,1610,13406,15016,s,14618,54813,69431,
v,1607,13272,14879,s,14640,54959,69599,
v,1597,13244,14841,s,14657,55011,69668,
v,1596,13220,14816,s,14788,54930,69718,
v,1609,13243,14852,s,14720,55145,69865,
v,1590,13238,14828,s,14897,55792,70689,
v,1597,13155,14752,s,14612,54841,69453,
v,1633,13522,15155,s,14649,54887,69536,
v,1587,13198,14785,s,14718,54852,69570,
v,1596,13238,14834,s,14589,54808,69397,
v,1590,13192,14782,s,14637,55006,69643,
v,1601,13342,14943,s,14600,54714,69314,
v,1586,13174,14760,s,14574,54686,69260,
v,1582,13152,14734,s,14623,54985,69608,
v,1802,13537,15339,s,15036,56393,71429,
v,1609,13417,15026,s,14850,55395,70245,
v,1591,13246,14837,s,14740,55065,69805,
v,1597,13235,14832,s,14754,54996,69750,
v,1599,13335,14934,s,14791,55378,70169,
v,1591,13185,14776,s,14634,54904,69538,
v,1592,13199,14791,s,15011,55587,70598,
v,1612,13320,14932,s,14704,54814,69518,
v,1598,13250,14848,s,14684,54934,69618,
v,1600,13299,14899,s,14745,55250,69995,
v,1610,13242,14852,s,14750,55309,70059,
v,1592,13209,14801,s,14838,55199,70037,
v,1589,13222,14811,s,14987,56095,71082,
v,1584,13192,14776,s,14856,55526,70382,
v,1604,13288,14892,s,14843,55119,69962,
v,1620,13511,15131,s,14774,55072,69846,
v,1586,13173,14759,s,14717,55176,69893,
v,1601,13259,14860,s,14686,54951,69637,
v,1590,15565,17155,s,14146,55054,69200,
v,1637,15613,17250,s,14116,55015,69131,
v,1569,15422,16991,s,14158,54855,69013,
v,1585,15503,17088,s,14107,54808,68915,
v,1565,15439,17004,s,14144,54777,68921,
v,1566,15383,16949,s,14193,54824,69017,
v,1569,15391,16960,s,14280,55064,69344,
v,1569,15405,16974,s,14184,55025,69209,
v,1574,15542,17116,s,14150,54896,69046,
v,1575,15471,17046,s,14141,54998,69139,
v,1582,15456,17038,s,14174,55313,69487,
v,1579,15469,17048,s,14144,54879,69023,
v,1567,15442,17009,s,14117,54754,68871,
v,1565,15361,16926,s,14177,55430,69607,
v,1586,15545,17131,s,14177,54901,69078,
v,1566,15384,16950,s,14453,56062,70515,
v,1570,15352,16922,s,14231,54954,69185,
v,1575,15456,17031,s,14165,54953,69118,
v,1569,15399,16968,s,14116,54897,69013,
v,1568,15379,16947,s,14103,54741,68844,
v,1561,15385,16946,s,14185,54822,69007,
v,1573,15431,17004,s,14099,54699,68798,
v,1578,15413,16991,s,14177,55136,69313,
v,1593,15613,17206,s,14193,55209,69402,
v,1566,15353,16919,s,14126,54840,68966,
v,1565,15372,16937,s,14244,54968,69212,
v,1565,15416,16981,s,14138,55038,69176,
v,1565,15369,16934,s,14170,55079,69249,
v,1570,15369,16939,s,14158,54877,69035,
v,1568,15425,16993,s,14100,54774,68874,
v,1578,15848,17426,s,14087,54874,68961,
v,1565,15390,16955,s,14147,54818,68965,
v,1570,15409,16979,s,14138,54794,68932,
v,1569,15382,16951,s,14149,54919,69068,
v,1569,15392,16961,s,14249,55497,69746,
v,1568,15385,16953,s,14279,55051,69330,
v,1647,16229,17876,s,14309,55325,69634,
v,1584,15552,17136,s,14203,55132,69335,
v,1566,15356,16922,s,14233,54848,69081,
v,1567,15375,16942,s,14440,55874,70314,
v,1576,15419,16995,s,14152,54984,69136,
v,1604,15713,17317,s,14226,55043,69269,
v,1571,15401,16972,s,14209,54986,69195,
v,1562,15390,16952,s,14188,55053,69241,
v,1573,15482,17055,s,14246,55735,69981,
v,1555,15375,16930,s,14187,55025,69212,
v,1559,15357,16916,s,14119,54962,69081,
v,1573,15466,17039,s,14210,54917,69127,
v,1621,15726,17347,s,14171,54871,69042,
v,1564,15355,16919,s,14104,54703,68807,
v,1626,15377,17003,s,13654,54808,68462,
v,1617,15333,16950,s,13683,54693,68376,
v,1639,15558,17197,s,13881,54974,68855,
v,1624,15373,16997,s,13712,54703,68415,
v,1624,15321,16945,s,13754,54870,68624,
v,1625,15307,16932,s,13752,54751,68503,
v,1632,15290,16922,s,13950,55760,69710,
v,1622,15345,16967,s,13792,54927,68719,
v,1626,15255,16881,s,13705,54932,68637,
v,1623,15324,16947,s,13699,54805,68504,
v,1638,15344,16982,s,13717,54789,68506,
v,1638,15403,17041,s,13714,54923,68637,
v,1623,15285,16908,s,13708,54913,68621,
v,1627,15396,17023,s,13737,54936,68673,
v,1620,15311,16931,s,13866,55482,69348,
v,1629,15333,16962,s,13744,54779,68523,
v,1753,17171,18924,s,13575,54781,68356,
v,1610,15182,16792,s,13472,53866,67338,
v,1606,15086,16692,s,13466,53909,67375,
v,1672,15279,16951,s,13608,54330,67938,
v,1625,15190,16815,s,13803,54226,68029,
v,1612,15137,16749,s,13536,54245,67781,
v,1608,15090,16698,s,13611,54270,67881,
v,1603,15207,16810,s,13520,54087,67607,
v,1604,15086,16690,s,13549,54040,67589,
v,1617,15225,16842,s,13587,54262,67849,
v,1611,15167,16778,s,13601,54532,68133,
v,1613,15112,16725,s,13889,55569,69458,
v,1616,15303,16919,s,13580,54109,67689,
v,1607,15171,16778,s,13622,54487,68109,
v,1607,15170,16777,s,13517,54232,67749,
v,1620,15248,16868,s,13521,54323,67844,
v,1615,15119,16734,s,13534,54149,67683,
v,1601,15155,16756,s,13552,54259,67811,
v,1625,15201,16826,s,13871,55553,69424,
v,1659,15890,17549,s,13529,54145,67674,
v,1602,15205,16807,s,13542,54297,67839,
v,1609,15140,16749,s,13527,54065,67592,
v,1606,15093,16699,s,13543,54212,67755,
v,1593,15088,16681,s,13552,54495,68047,
v,1640,15339,16979,s,13585,54322,67907,
v,1615,15271,16886,s,13685,54751,68436,
v,1603,15130,16733,s,13562,54248,67810,
v,1619,15226,16845,s,13882,56146,70028,
v,1627,15320,16947,s,13559,54206,67765,
