VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,463,3955,4418,s,1843,7169,9012,
v,460,3905,4365,s,1835,7131,8966,
v,463,3913,4376,s,1837,7168,9005,
v,471,3941,4412,s,1831,7164,8995,
v,468,3932,4400,s,1840,7153,8993,
v,470,3916,4386,s,1889,7279,9168,
v,465,3926,4391,s,1824,7139,8963,
v,466,3908,4374,s,1824,7134,8958,
v,462,3925,4387,s,1831,7137,8968,
v,459,3918,4377,s,1830,7115,8945,
v,463,3933,4396,s,1828,7146,8974,
v,463,3930,4393,s,1842,7197,9039,
v,463,3918,4381,s,1841,7142,8983,
v,459,3900,4359,s,1832,7135,8967,
v,461,3928,4389,s,1844,7154,8998,
v,467,3912,4379,s,1835,7138,8973,
v,464,3931,4395,s,1846,7147,8993,
v,465,3913,4378,s,1831,7125,8956,
v,467,3927,4394,s,1840,7166,9006,
v,466,3933,4399,s,1829,7142,8971,
v,465,3920,4385,s,1834,7135,8969,
v,458,3913,4371,s,1827,7150,8977,
v,460,3908,4368,s,1843,7109,8952,
v,459,3921,4380,s,1832,7147,8979,
v,462,3923,4385,s,1831,7161,8992,
v,464,3915,4379,s,1828,7138,8966,
v,540,4459,4999,s,1886,7362,9248,
v,477,3977,4454,s,1838,7162,9000,
v,473,3931,4404,s,1829,7165,8994,
v,465,3928,4393,s,1849,7183,9032,
v,470,3922,4392,s,1832,7178,9010,
v,464,3918,4382,s,1835,7161,8996,
v,471,3913,4384,s,1826,7126,8952,
v,462,3921,4383,s,1830,7144,8974,
v,464,3916,4380,s,1822,7119,8941,
v,458,3903,4361,s,1822,7094,8916,
v,464,3935,4399,s,1824,7128,8952,
v,463,3904,4367,s,1825,7132,8957,
v,475,3921,4396,s,1837,7182,9019,
v,468,3915,4383,s,1825,7142,8967,
v,469,3915,4384,s,1836,7154,8990,
v,468,3904,4372,s,1836,7123,8959,
v,465,3939,4404,s,1835,7156,8991,
v,466,3907,4373,s,1836,7112,8948,
v,461,3902,4363,s,1832,7171,9003,
v,464,3922,4386,s,1849,7188,9037,
v,464,3907,4371,s,1822,7125,8947,
v,465,3915,4380,s,1825,7138,8963,
v,462,3929,4391,s,1831,7121,8952,
v,470,3928,4398,s,1831,7144,8975,
v,464,3922,4386,s,1826,7141,8967,
v,461,3924,4385,s,1828,7127,8955,
v,462,3914,4376,s,1819,7137,8956,
v,465,3926,4391,s,1831,7143,8974,
v,462,3924,4386,s,1833,7145,8978,
v,486,4031,4517,s,1835,7156,8991,
v,470,3921,4391,s,1833,7141,8974,
v,473,3905,4378,s,1830,7155,8985,
v,463,3928,4391,s,1829,7157,8986,
v,474,3958,4432,s,1837,7171,9008,
v,465,3915,4380,s,1825,7120,8945,
v,467,3905,4372,s,1828,7174,9002,
v,470,3931,4401,s,1820,7117,8937,
v,465,3905,4370,s,1830,7136,8966,
v,465,3928,4393,s,1834,7150,8984,
v,463,3915,4378,s,1829,7129,8958,
v,461,3891,4352,s,1852,7178,9030,
v,465,3934,4399,s,1830,7109,8939,
v,483,4000,4483,s,1835,7144,8979,
v,465,3922,4387,s,1826,7122,8948,
v,462,3917,4379,s,1842,7155,8997,
v,462,3920,4382,s,1890,7409,9299,
v,471,3960,4431,s,1823,7187,9010,
v,464,3905,4369,s,1829,7129,8958,
v,464,3904,4368,s,1828,7149,8977,
v,461,3926,4387,s,1828,7122,8950,
v,466,3909,4375,s,1829,7140,8969,
v,464,3923,4387,s,1821,7129,8950,
v,460,3908,4368,s,1824,7136,8960,
v,468,3925,4393,s,1834,7164,8998,
v,466,3914,4380,s,1844,7199,9043,
v,466,3952,4418,s,1832,7130,8962,
v,468,3930,4398,s,1839,7123,8962,
v,464,3928,4392,s,1850,7274,9124,
v,466,3922,4388,s,1831,7127,8958,
v,465,3915,4380,s,1829,7112,8941,
v,462,3914,4376,s,1829,7126,8955,
v,463,3915,4378,s,1826,7112,8938,
v,464,3926,4390,s,1825,7122,8947,
v,458,3903,4361,s,1829,7122,8951,
v,475,3920,4395,s,1831,7137,8968,
v,462,3903,4365,s,1831,7114,8945,
v,467,3906,4373,s,1836,7126,8962,
v,468,3921,4389,s,1826,7120,8946,
v,462,3918,4380,s,1841,7151,8992,
v,462,3904,4366,s,1826,7120,8946,
v,461,3908,4369,s,1828,7123,8951,
v,466,3918,4384,s,1850,7183,9033,
v,464,3920,4384,s,1835,7168,9003,
v,464,3923,4387,s,1821,7113,8934,
