VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,2008,9105,11113,s,1838,7227,9065,
v,1998,9033,11031,s,1839,7277,9116,
v,1992,9014,11006,s,1834,7260,9094,
v,2005,9006,11011,s,1836,7246,9082,
v,1993,8999,10992,s,1830,7207,9037,
v,1998,9010,11008,s,1823,7232,9055,
v,2021,9020,11041,s,1830,7217,9047,
v,2002,9035,11037,s,1827,7261,9088,
v,1983,9012,10995,s,1833,7263,9096,
v,2006,9022,11028,s,1826,7254,9080,
v,1989,9039,11028,s,1824,7239,9063,
v,2005,9040,11045,s,1830,7219,9049,
v,1984,9000,10984,s,1826,7234,9060,
v,1992,9011,11003,s,1821,7216,9037,
v,2001,9051,11052,s,1826,7204,9030,
v,1991,8986,10977,s,1839,7244,9083,
v,2005,9029,11034,s,1830,7204,9034,
v,1998,9014,11012,s,1834,7303,9137,
v,1987,9014,11001,s,1842,7228,9070,
v,1991,9033,11024,s,1827,7214,9041,
v,1995,9024,11019,s,1827,7224,9051,
v,1999,9026,11025,s,1839,7222,9061,
v,1991,9056,11047,s,1818,7261,9079,
v,1990,9034,11024,s,1832,7274,9106,
v,1999,9041,11040,s,1827,7235,9062,
v,2009,9079,11088,s,1852,7300,9152,
v,1997,9033,11030,s,1829,7226,9055,
v,1988,9015,11003,s,1838,7232,9070,
v,1990,9027,11017,s,1844,7219,9063,
v,1994,9000,10994,s,1824,7258,9082,
v,2001,9050,11051,s,1834,7225,9059,
v,1991,9028,11019,s,1851,7224,9075,
v,1991,9013,11004,s,1819,7215,9034,
v,1995,9048,11043,s,1834,7255,9089,
v,2001,9023,11024,s,1832,7248,9080,
v,1992,9053,11045,s,1844,7272,9116,
v,1994,9047,11041,s,1940,7636,9576,
v,2074,9380,11454,s,1840,7259,9099,
v,1997,9028,11025,s,1839,7263,9102,
v,2002,9034,11036,s,1829,7220,9049,
v,2003,9084,11087,s,1838,7254,9092,
v,2061,9292,11353,s,1842,7262,9104,
v,1998,9046,11044,s,1831,7224,9055,
v,1990,9004,10994,s,1834,7261,9095,
v,1986,9055,11041,s,1834,7240,9074,
v,2028,9123,11151,s,1834,7249,9083,
v,1991,9034,11025,s,1835,7195,9030,
v,1998,8978,10976,s,1835,7228,9063,
v,2000,9006,11006,s,1829,7225,9054,
v,1995,9031,11026,s,1826,7235,9061,
v,1994,8993,10987,s,1834,7240,9074,
v,1992,9038,11030,s,1842,7247,9089,
v,1992,9015,11007,s,1838,7235,9073,
v,1992,9053,11045,s,1826,7236,9062,
v,1991,9005,10996,s,1844,7247,9091,
v,2012,9035,11047,s,1833,7242,9075,
v,1989,9013,11002,s,1829,7246,9075,
v,1993,9036,11029,s,1832,7265,9097,
v,1993,9052,11045,s,1823,7231,9054,
v,1988,9036,11024,s,1825,7249,9074,
v,1993,9016,11009,s,1828,7231,9059,
v,2009,9083,11092,s,1818,7247,9065,
v,2003,9009,11012,s,1822,7227,9049,
v,1994,8998,10992,s,1827,7228,9055,
v,1989,9019,11008,s,1829,7218,9047,
v,1987,8995,10982,s,1828,7229,9057,
v,1987,8986,10973,s,1832,7214,9046,
v,1985,8996,10981,s,1830,7218,9048,
v,2004,9037,11041,s,1823,7228,9051,
v,1997,9016,11013,s,1854,7298,9152,
v,1999,9033,11032,s,1850,7202,9052,
v,1994,9034,11028,s,1847,7250,9097,
v,1988,8988,10976,s,1833,7229,9062,
v,1995,9037,11032,s,1832,7259,9091,
v,1997,9048,11045,s,1823,7219,9042,
v,1990,9052,11042,s,1832,7264,9096,
v,1989,8989,10978,s,1835,7240,9075,
v,2002,9043,11045,s,1834,7251,9085,
v,2000,9006,11006,s,1826,7260,9086,
v,1992,9038,11030,s,1827,7232,9059,
v,1986,9041,11027,s,1859,7285,9144,
v,1989,9002,10991,s,1842,7246,9088,
v,1988,9000,10988,s,1828,7263,9091,
v,1988,9010,10998,s,1838,7291,9129,
v,2000,9055,11055,s,1828,7205,9033,
v,1989,9013,11002,s,1835,7282,9117,
v,2008,9056,11064,s,1828,7236,9064,
v,2000,9081,11081,s,1825,7267,9092,
v,2000,9018,11018,s,1836,7247,9083,
v,1991,9005,10996,s,1837,7265,9102,
v,1993,9051,11044,s,1829,7243,9072,
v,1993,9013,11006,s,1829,7235,9064,
v,1997,9020,11017,s,1838,7216,9054,
v,1998,9038,11036,s,1828,7253,9081,
v,1985,9039,11024,s,1837,7237,9074,
v,1993,9037,11030,s,1840,7244,9084,
v,1997,9039,11036,s,1828,7212,9040,
v,1992,9036,11028,s,1828,7234,9062,
v,1995,9001,10996,s,1848,7244,9092,
v,1996,9020,11016,s,1827,7218,9045,
