VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,2127,3045,5172,s,3194,3593,6787,
v,2132,3018,5150,s,3182,3570,6752,
v,2083,2952,5035,s,3182,3580,6762,
v,2072,2946,5018,s,3238,3655,6893,
v,2075,2968,5043,s,3187,3579,6766,
v,2089,2975,5064,s,3187,3579,6766,
v,2081,2969,5050,s,3251,3636,6887,
v,2087,2973,5060,s,3201,3602,6803,
v,2085,2971,5056,s,3247,3638,6885,
v,2179,3071,5250,s,3260,3659,6919,
v,2089,2974,5063,s,3348,3738,7086,
v,2124,3082,5206,s,3255,3667,6922,
v,2182,3087,5269,s,3224,3625,6849,
v,2140,3047,5187,s,3227,3616,6843,
v,2082,2961,5043,s,3199,3604,6803,
v,2082,2971,5053,s,3200,3610,6810,
v,2080,2956,5036,s,3189,3591,6780,
v,2140,3010,5150,s,3222,3622,6844,
v,2139,3027,5166,s,3250,3628,6878,
v,2137,3010,5147,s,3220,3626,6846,
v,2096,2990,5086,s,3216,3612,6828,
v,2078,2955,5033,s,3192,3596,6788,
v,2075,2965,5040,s,3198,3588,6786,
v,2107,2968,5075,s,3189,3594,6783,
v,2091,2951,5042,s,3199,3603,6802,
v,2119,2987,5106,s,3193,3593,6786,
v,2093,2976,5069,s,3191,3593,6784,
v,2069,2948,5017,s,3201,3608,6809,
v,2094,2967,5061,s,3192,3604,6796,
v,2126,3027,5153,s,3212,3609,6821,
v,2075,2969,5044,s,3192,3592,6784,
v,2084,2965,5049,s,3204,3625,6829,
v,2089,2968,5057,s,3213,3602,6815,
v,2082,2966,5048,s,3202,3596,6798,
v,2080,2955,5035,s,3208,3597,6805,
v,2090,2986,5076,s,3202,3590,6792,
v,2071,2944,5015,s,3175,3583,6758,
v,2060,2946,5006,s,3202,3607,6809,
v,2149,3017,5166,s,3180,3578,6758,
v,2088,2945,5033,s,3191,3591,6782,
v,2078,2953,5031,s,3220,3626,6846,
v,2072,2953,5025,s,3183,3578,6761,
v,2084,2965,5049,s,3213,3607,6820,
v,2093,2979,5072,s,3226,3608,6834,
v,2233,3109,5342,s,3203,3612,6815,
v,2061,2945,5006,s,3192,3579,6771,
v,2078,2972,5050,s,3236,3640,6876,
v,2094,2972,5066,s,3217,3621,6838,
v,2060,2937,4997,s,3205,3582,6787,
v,2088,2976,5064,s,3248,3596,6844,
